_MEMBER_Lrp1b,_LogP_Lrp1b,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.316880042200475,GO:0099177,M1,1,0,GO Biological Processes,19,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-6.316880042200475,27.867132867132867,11.476329886964406,30286,494,11,5,45.45454545454545,15.0131422517231,2895|10718|22871|23236|440279,GRID2|NRG3|NLGN1|PLCB1|UNC13C,-2.5915606622355885,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-5.330442106972559,GO:0050808,M1,1,0,GO Biological Processes,19,synapse organization,19_GO:0009987 cellular process,-5.330442106972559,32.67979498246561,11.147415925456084,30286,337,11,4,36.36363636363637,14.504073367590284,2895|10718|22871|440279,GRID2|NRG3|NLGN1|UNC13C,-1.957305245119035,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-5.042674750925047,GO:0007416,M1,1,0,GO Biological Processes,19,synapse assembly,19_GO:0032502 developmental process,-5.042674750925047,70.5967365967366,14.377037481896574,30286,117,11,3,27.272727272727273,13.428162652290842,2895|10718|22871,GRID2|NRG3|NLGN1,-1.7601820356917448,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-4.9736180546777575,GO:0007268,M1,1,0,GO Biological Processes,19,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-4.9736180546777575,26.53756845564075,9.98497005851033,30286,415,11,4,36.36363636363637,14.504073367590284,1740|2895|22871|440279,DLG2|GRID2|NLGN1|UNC13C,-1.7601820356917448,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-4.9736180546777575,GO:0098916,M1,1,0,GO Biological Processes,19,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-4.9736180546777575,26.53756845564075,9.98497005851033,30286,415,11,4,36.36363636363637,14.504073367590284,1740|2895|22871|440279,DLG2|GRID2|NLGN1|UNC13C,-1.7601820356917448,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-4.905003802316822,GO:0099537,M1,1,0,GO Biological Processes,19,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-4.905003802316822,25.493265993265997,9.773618068144152,30286,432,11,4,36.36363636363637,14.504073367590284,1740|2895|22871|440279,DLG2|GRID2|NLGN1|UNC13C,-1.7237524667022102,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-4.547070700789285,GO:0034330,M1,1,0,GO Biological Processes,19,cell junction organization,19_GO:0009987 cellular process,-4.547070700789285,20.662459491727788,8.729796499242251,30286,533,11,4,36.36363636363637,14.504073367590284,2895|10718|22871|440279,GRID2|NRG3|NLGN1|UNC13C,-1.4238113121523603,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-3.899596638753052,GO:0034329,M1,1,0,GO Biological Processes,19,cell junction assembly,19_GO:0009987 cellular process,-3.899596638753052,29.1866366848699,9.080759841544584,30286,283,11,3,27.272727272727273,13.428162652290842,2895|10718|22871,GRID2|NRG3|NLGN1,-0.9339451034777955,0,2,0,0,-6.4652502596272345,70.5967365967366,
1,-6.0336428726900335,R-HSA-6794361,M1,1,0,Reactome Gene Sets,6,Neurexins and neuroligins,,-6.0336428726900335,150.17851239669423,21.107141219570437,30286,55,11,3,27.272727272727273,13.428162652290842,1740|22871|80059,DLG2|NLGN1|LRRTM4,-2.405233505733203,0,3,1,1,-6.0336428726900335,150.17851239669423,
1,-5.445148610787046,R-HSA-6794362,M1,1,0,Reactome Gene Sets,6,Protein-protein interactions at synapses,,-5.445148610787046,96.04439746300211,16.824428917989827,30286,86,11,3,27.272727272727273,13.428162652290842,1740|22871|80059,DLG2|NLGN1|LRRTM4,-1.9628672795084539,0,3,0,0,-6.0336428726900335,150.17851239669423,
1,-4.994347167744823,R-HSA-112316,M1,1,0,Reactome Gene Sets,6,Neuronal System,,-4.994347167744823,26.86119733924612,10.04956785522222,30286,410,11,4,36.36363636363637,14.504073367590284,1740|22871|23236|80059,DLG2|NLGN1|PLCB1|LRRTM4,-1.7601820356917448,0,3,0,0,-6.0336428726900335,150.17851239669423,
1,-3.108490190950277,GO:0010035,M1,1,0,GO Biological Processes,19,response to inorganic substance,19_GO:0050896 response to stimulus,-3.108490190950277,15.673279282387442,6.477260747609474,30286,527,11,3,27.272727272727273,13.428162652290842,1740|22871|23236,DLG2|NLGN1|PLCB1,-0.3125897366996829,0,3,0,0,-6.0336428726900335,150.17851239669423,
1,-5.486125407589931,GO:0007420,M1,1,0,GO Biological Processes,19,brain development,19_GO:0032502 developmental process,-5.486125407589931,18.883900735752587,9.316738257762545,30286,729,11,5,45.45454545454545,15.0131422517231,1496|2895|6091|10718|23236,CTNNA2|GRID2|ROBO1|NRG3|PLCB1,-1.9628672795084539,0,4,1,1,-5.486125407589931,30.035702479338845,
1,-5.348065238322786,GO:0060322,M1,1,0,GO Biological Processes,19,head development,19_GO:0032502 developmental process,-5.348065238322786,17.694554802523953,8.992134803287192,30286,778,11,5,45.45454545454545,15.0131422517231,1496|2895|6091|10718|23236,CTNNA2|GRID2|ROBO1|NRG3|PLCB1,-1.957305245119035,0,4,0,0,-5.486125407589931,30.035702479338845,
1,-3.9364016715929155,GO:0021537,M1,1,0,GO Biological Processes,19,telencephalon development,19_GO:0032502 developmental process,-3.9364016715929155,30.035702479338845,9.219906287152948,30286,275,11,3,27.272727272727273,13.428162652290842,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.9514449811222724,0,4,0,0,-5.486125407589931,30.035702479338845,
1,-3.5194603556618387,GO:0030336,M1,1,0,GO Biological Processes,19,negative regulation of cell migration,19_GO:0040011 locomotion,-3.5194603556618387,21.67931281317108,7.742741193516121,30286,381,11,3,27.272727272727273,13.428162652290842,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.590020993041027,0,4,0,0,-5.486125407589931,30.035702479338845,
1,-3.470316947084309,GO:2000146,M1,1,0,GO Biological Processes,19,negative regulation of cell motility,19_GO:0040011 locomotion,-3.470316947084309,20.858126721763085,7.582125504196023,30286,396,11,3,27.272727272727273,13.428162652290842,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.5579109237622777,0,4,0,0,-5.486125407589931,30.035702479338845,
1,-3.4354815051522065,GO:0030900,M1,1,0,GO Biological Processes,19,forebrain development,19_GO:0032502 developmental process,-3.4354815051522065,20.29439356712084,7.469875511178666,30286,407,11,3,27.272727272727273,13.428162652290842,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.5394658980183444,0,4,0,0,-5.486125407589931,30.035702479338845,
1,-3.362730462062926,GO:0040013,M1,1,0,GO Biological Processes,19,negative regulation of locomotion,19_GO:0040011 locomotion,-3.362730462062926,19.16431132672432,7.239641982999696,30286,431,11,3,27.272727272727273,13.428162652290842,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.4825091221122959,0,4,0,0,-5.486125407589931,30.035702479338845,
