_MEMBER_Abi2,_LogP_Abi2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.2316186050743516,GO:0031344,M1,1,0,GO Biological Processes,19,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-3.2316186050743516,9.955950032873108,5.742803879220401,30286,676,18,4,22.22222222222222,9.799078929868854,348|2823|5621|5764,APOE|GPM6A|PRNP|PTN,-0.0803304928371834,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-3.0639682516471916,GO:0050890,M1,1,0,GO Biological Processes,19,cognition,19_GO:0032501 multicellular organismal process,-3.0639682516471916,15.675983436853002,6.456444668595498,30286,322,18,3,16.666666666666668,8.784104611578831,348|5621|5764,APOE|PRNP|PTN,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.9767660099282787,GO:0008285,M1,1,0,GO Biological Processes,19,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-2.9767660099282787,8.508498384604579,5.218255170065714,30286,791,18,4,22.22222222222222,9.799078929868854,348|2495|5621|5764,APOE|FTH1|PRNP|PTN,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.9243331747568106,GO:0031346,M1,1,0,GO Biological Processes,19,positive regulation of cell projection organization,19_GO:0048518 positive regulation of biological process,-2.9243331747568106,14.021296296296297,6.060930649735499,30286,360,18,3,16.666666666666668,8.784104611578831,348|2823|5764,APOE|GPM6A|PTN,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.723847882801952,GO:0030003,M1,1,0,GO Biological Processes,19,intracellular monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-2.723847882801952,11.933018124507488,5.5220675319540575,30286,423,18,3,16.666666666666668,8.784104611578831,348|2495|5621,APOE|FTH1|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.7035432420533234,GO:0098771,M1,1,0,GO Biological Processes,19,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-2.7035432420533234,11.738759689922482,5.4692870764719625,30286,430,18,3,16.666666666666668,8.784104611578831,348|2495|5621,APOE|FTH1|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.697806132407746,GO:0006873,M1,1,0,GO Biological Processes,19,intracellular monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-2.697806132407746,11.684413580246915,5.454431333517264,30286,432,18,3,16.666666666666668,8.784104611578831,348|2495|5621,APOE|FTH1|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.5808436826329357,GO:0072657,M1,1,0,GO Biological Processes,19,protein localization to membrane,19_GO:0051179 localization,-2.5808436826329357,10.626666666666667,5.156946734156757,30286,475,18,3,16.666666666666668,8.784104611578831,348|5764|22883,APOE|PTN|CLSTN1,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.5252847791823294,GO:0055080,M1,1,0,GO Biological Processes,19,monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-2.5252847791823294,10.15627095908786,5.019113852134647,30286,497,18,3,16.666666666666668,8.784104611578831,348|2495|5621,APOE|FTH1|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.5008923932387837,GO:0050801,M1,1,0,GO Biological Processes,19,monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-2.5008923932387837,9.95595003287311,4.95928155786422,30286,507,18,3,16.666666666666668,8.784104611578831,348|2495|5621,APOE|FTH1|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.3818347867279703,GO:0051668,M1,1,0,GO Biological Processes,19,localization within membrane,19_GO:0051179 localization,-2.3818347867279703,9.029815146094217,4.672981791813282,30286,559,18,3,16.666666666666668,8.784104611578831,348|5764|22883,APOE|PTN|CLSTN1,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.347584268827966,GO:0055082,M1,1,0,GO Biological Processes,19,intracellular chemical homeostasis,19_GO:0042592 homeostatic process,-2.347584268827966,8.778550724637682,4.592320126327953,30286,575,18,3,16.666666666666668,8.784104611578831,348|2495|5621,APOE|FTH1|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.3143464510555365,GO:1902532,M1,1,0,GO Biological Processes,19,negative regulation of intracellular signal transduction,19_GO:0048519 negative regulation of biological process,-2.3143464510555365,8.54089114495206,4.514741886540739,30286,591,18,3,16.666666666666668,8.784104611578831,348|5621|7534,APOE|PRNP|YWHAZ,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.2960746863063575,GO:0030162,M1,1,0,GO Biological Processes,19,regulation of proteolysis,19_GO:0008152 metabolic process,-2.2960746863063575,8.412777777777778,4.472382541265765,30286,600,18,3,16.666666666666668,8.784104611578831,348|1471|5621,APOE|CST3|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.258456440908916,GO:0007610,M1,1,0,GO Biological Processes,19,behavior,19_GO:0032501 multicellular organismal process,-2.258456440908916,8.154550350026925,4.3858021081375975,30286,619,18,3,16.666666666666668,8.784104611578831,348|5621|5764,APOE|PRNP|PTN,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.158029702419793,R-HSA-5653656,M1,1,0,Reactome Gene Sets,6,Vesicle-mediated transport,,-2.158029702419793,7.500247647350174,4.158669530818209,30286,673,18,3,16.666666666666668,8.784104611578831,348|2495|7534,APOE|FTH1|YWHAZ,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.140398357765225,GO:0019725,M1,1,0,GO Biological Processes,19,cellular homeostasis,19_GO:0042592 homeostatic process,-2.140398357765225,7.390434358223524,4.119372319141215,30286,683,18,3,16.666666666666668,8.784104611578831,348|2495|5621,APOE|FTH1|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.126495365043546,GO:0031175,M1,1,0,GO Biological Processes,19,neuron projection development,19_GO:0032502 developmental process,-2.126495365043546,7.304872165943078,4.088502954483698,30286,691,18,3,16.666666666666668,8.784104611578831,348|2823|5764,APOE|GPM6A|PTN,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.0562877599221143,GO:0051129,M1,1,0,GO Biological Processes,19,negative regulation of cellular component organization,19_GO:0048519 negative regulation of biological process,-2.0562877599221143,6.886311959981811,3.9341657594603223,30286,733,18,3,16.666666666666668,8.784104611578831,348|1471|5621,APOE|CST3|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-2.027542114282005,GO:0044092,M1,1,0,GO Biological Processes,19,negative regulation of molecular function,19_GO:0065007 biological regulation,-2.027542114282005,6.7212605415002225,3.871697209229235,30286,751,18,3,16.666666666666668,8.784104611578831,348|1471|5621,APOE|CST3|PRNP,0.0,0,1,0,0,-7.194515008132106,360.5476190476191,
1,-6.348671141892021,GO:0034330,M1,1,0,GO Biological Processes,19,cell junction organization,19_GO:0009987 cellular process,-6.348671141892021,18.940587867417136,10.190443184016654,30286,533,18,6,33.333333333333336,11.111111111111112,348|2557|2823|5621|27445|81671,APOE|GABRA4|GPM6A|PRNP|PCLO|VMP1,-2.6233517619271343,0,2,1,1,-6.348671141892021,43.142450142450144,
1,-5.899728986314434,GO:0050808,M1,1,0,GO Biological Processes,19,synapse organization,19_GO:0009987 cellular process,-5.899728986314434,24.963732278272335,10.787887912985825,30286,337,18,5,27.77777777777778,10.557179862029056,348|2557|2823|5621|27445,APOE|GABRA4|GPM6A|PRNP|PCLO,-2.2713196193576035,0,2,0,0,-6.348671141892021,43.142450142450144,
1,-4.68615777633605,GO:0034329,M1,1,0,GO Biological Processes,19,cell junction assembly,19_GO:0009987 cellular process,-4.68615777633605,23.781703965449548,9.389776602263288,30286,283,18,4,22.22222222222222,9.799078929868854,2557|2823|27445|81671,GABRA4|GPM6A|PCLO|VMP1,-1.2038764450574577,0,2,0,0,-6.348671141892021,43.142450142450144,
1,-4.357048439907013,GO:0007416,M1,1,0,GO Biological Processes,19,synapse assembly,19_GO:0032502 developmental process,-4.357048439907013,43.142450142450144,11.13756967534814,30286,117,18,3,16.666666666666668,8.784104611578831,2557|2823|27445,GABRA4|GPM6A|PCLO,-0.9327590556061071,0,2,0,0,-6.348671141892021,43.142450142450144,
1,-2.747492922018986,GO:0007268,M1,1,0,GO Biological Processes,19,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-2.747492922018986,12.163052208835342,5.5839343317143735,30286,415,18,3,16.666666666666668,8.784104611578831,348|2557|27445,APOE|GABRA4|PCLO,0.0,0,2,0,0,-6.348671141892021,43.142450142450144,
1,-2.747492922018986,GO:0098916,M1,1,0,GO Biological Processes,19,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-2.747492922018986,12.163052208835342,5.5839343317143735,30286,415,18,3,16.666666666666668,8.784104611578831,348|2557|27445,APOE|GABRA4|PCLO,0.0,0,2,0,0,-6.348671141892021,43.142450142450144,
1,-2.697806132407746,GO:0099537,M1,1,0,GO Biological Processes,19,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-2.697806132407746,11.684413580246915,5.454431333517264,30286,432,18,3,16.666666666666668,8.784104611578831,348|2557|27445,APOE|GABRA4|PCLO,0.0,0,2,0,0,-6.348671141892021,43.142450142450144,
1,-2.6176454224660297,GO:0099536,M1,1,0,GO Biological Processes,19,synaptic signaling,19_GO:0050789 regulation of biological process,-2.6176454224660297,10.94938539407086,5.249460464134836,30286,461,18,3,16.666666666666668,8.784104611578831,348|2557|27445,APOE|GABRA4|PCLO,0.0,0,2,0,0,-6.348671141892021,43.142450142450144,
1,-2.966691268196863,GO:0006869,M1,1,0,GO Biological Processes,19,lipid transport,19_GO:0051179 localization,-2.966691268196863,14.504789272030653,6.179085729535918,30286,348,18,3,16.666666666666668,8.784104611578831,348|64137|81671,APOE|ABCG4|VMP1,0.0,0,3,1,1,-2.966691268196863,14.504789272030653,
1,-2.8471387591237582,GO:0010876,M1,1,0,GO Biological Processes,19,lipid localization,19_GO:0051179 localization,-2.8471387591237582,13.1792863359443,5.849544192515896,30286,383,18,3,16.666666666666668,8.784104611578831,348|64137|81671,APOE|ABCG4|VMP1,0.0,0,3,0,0,-2.966691268196863,14.504789272030653,
1,-2.0498330998830614,R-HSA-382551,M1,1,0,Reactome Gene Sets,6,Transport of small molecules,,-2.0498330998830614,6.8489371325192225,3.920103036090529,30286,737,18,3,16.666666666666668,8.784104611578831,348|2495|64137,APOE|FTH1|ABCG4,0.0,0,3,0,0,-2.966691268196863,14.504789272030653,
1,-2.9631033618730953,GO:0034765,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-2.9631033618730953,14.463228271251195,6.169016944115293,30286,349,18,3,16.666666666666668,8.784104611578831,3760|5621|81671,KCNJ3|PRNP|VMP1,0.0,0,4,1,1,-2.9631033618730953,14.463228271251195,
1,-2.593853111246125,GO:0043269,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transport,19_GO:0051179 localization,-2.593853111246125,10.739716312056737,5.189538346684476,30286,470,18,3,16.666666666666668,8.784104611578831,3760|5621|81671,KCNJ3|PRNP|VMP1,0.0,0,4,0,0,-2.9631033618730953,14.463228271251195,
1,-2.5451790334547026,GO:0034762,M1,1,0,GO Biological Processes,19,regulation of transmembrane transport,19_GO:0051179 localization,-2.5451790334547026,10.322426721199728,5.068218341748835,30286,489,18,3,16.666666666666668,8.784104611578831,3760|5621|81671,KCNJ3|PRNP|VMP1,0.0,0,4,0,0,-2.9631033618730953,14.463228271251195,
1,-2.419401594841432,GO:0051640,M1,1,0,GO Biological Processes,19,organelle localization,19_GO:0051179 localization,-2.419401594841432,9.313038130381305,4.762312701277357,30286,542,18,3,16.666666666666668,8.784104611578831,7534|27445|81671,YWHAZ|PCLO|VMP1,0.0,0,5,1,1,-2.419401594841432,9.313038130381305,
1,-2.2296317934929375,GO:0030001,M1,1,0,GO Biological Processes,19,metal ion transport,19_GO:0051179 localization,-2.2296317934929375,7.96161934805468,4.32002325918933,30286,634,18,3,16.666666666666668,8.784104611578831,2495|2823|3760,FTH1|GPM6A|KCNJ3,0.0,0,6,1,1,-2.2296317934929375,7.96161934805468,
1,-2.067677280445176,GO:0098660,M1,1,0,GO Biological Processes,19,inorganic ion transmembrane transport,19_GO:0051179 localization,-2.067677280445176,6.952708907254363,3.9590311613546034,30286,726,18,3,16.666666666666668,8.784104611578831,2557|2823|3760,GABRA4|GPM6A|KCNJ3,0.0,0,6,0,0,-2.2296317934929375,7.96161934805468,
