_MEMBER_Kansl1l,_LogP_Kansl1l,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-8,M39251,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 1 EMBRYONIC RED BLOOD CELLS,,-8,19,12,30286,126,100,8,8,2.7,2597|3021|3183|5094|6500|6613|7314|23204,GAPDH|H3-3B|HNRNPC|PCBP2|SKP1|SUMO2|UBB|ARL6IP1,-4.6,0
1,-7.6,M41717,M1,1,0,Cell Type Signatures,7,FAN OVARY CL15 SMALL ANTRAL FOLLICLE GRANULOSA CELL,,-7.6,6.6,8.2,30286,645,100,14,14,3.5,52|805|1350|3183|3190|3326|4282|4697|5094|6500|7167|7529|23204|59286,ACP1|CALM2|COX7C|HNRNPC|HNRNPK|HSP90AB1|MIF|NDUFA4|PCBP2|SKP1|TPI1|YWHAB|ARL6IP1|UBL5,-4.1,0
1,-6.6,M39048,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES BASAL,,-6.6,23,11,30286,79,100,6,6,2.4,3021|3190|6500|6613|7314|59286,H3-3B|HNRNPK|SKP1|SUMO2|UBB|UBL5,-3.2,0
1,-6.6,M40026,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-6.6,12,9.2,30286,194,100,8,8,2.7,226|1350|2597|3183|3326|7167|23204|400916,ALDOA|COX7C|GAPDH|HNRNPC|HSP90AB1|TPI1|ARL6IP1|CHCHD10,-3.2,0
1,-6.1,M39208,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW PRO B,,-6.1,9,8,30286,304,100,9,9,2.9,52|3151|3190|4697|6613|7314|23204|55840|196294,ACP1|HMGN2|HNRNPK|NDUFA4|SUMO2|UBB|ARL6IP1|EAF2|IMMP1L,-3,0
1,-5.8,M41710,M1,1,0,Cell Type Signatures,7,FAN OVARY CL8 MATURE CUMULUS GRANULOSA CELL 2,,-5.8,5.6,6.8,30286,646,100,12,12,3.2,226|805|808|1350|3151|4282|4697|4718|5094|6613|59286|400916,ALDOA|CALM2|CALM3|COX7C|HMGN2|MIF|NDUFA4|NDUFC2|PCBP2|SUMO2|UBL5|CHCHD10,-2.7,0
1,-5.7,M39255,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 5 PROXIMAL TUBULE CELLS,,-5.7,16,9.3,30286,112,100,6,6,2.4,801|808|2045|5094|9296|23767,CALM1|CALM3|EPHA7|PCBP2|ATP6V1F|FLRT3,-2.7,0
1,-5.4,M39257,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 7 LOOPOF HENLE CELLS DISTAL,,-5.4,8.8,7.5,30286,276,100,8,8,2.7,226|1350|4697|4718|4747|7167|84707|400916,ALDOA|COX7C|NDUFA4|NDUFC2|NEFL|TPI1|BEX2|CHCHD10,-2.4,0
1,-5.2,M39017,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS CAJAL RETZIUS,,-5.2,6.1,6.6,30286,499,100,10,10,3,226|808|1350|4747|5121|7167|9447|60592|84707|90293,ALDOA|CALM3|COX7C|NEFL|PCP4|TPI1|AIM2|SCOC|BEX2|KLHL13,-2.3,0
1,-5,M41748,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-5,7.8,6.9,30286,310,100,8,8,2.7,226|2597|3151|3326|4282|4697|10209|400916,ALDOA|GAPDH|HMGN2|HSP90AB1|MIF|NDUFA4|EIF1|CHCHD10,-2.1,0
1,-5,M41749,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE NK CELLS,,-5,9.4,7.3,30286,226,100,7,7,2.6,52|801|3021|7314|7534|10209|59286,ACP1|CALM1|H3-3B|UBB|YWHAZ|EIF1|UBL5,-2.1,0
1,-4.9,M39243,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C24 ENDOTHELIAL CELLS AEA AND DVR,,-4.9,12,7.8,30286,152,100,6,6,2.4,801|1879|3021|3326|7529|10209,CALM1|EBF1|H3-3B|HSP90AB1|YWHAB|EIF1,-2,0
1,-4.7,M41671,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG AIRWAY SMOOTH MUSCLE CELL,,-4.7,11,7.4,30286,166,100,6,6,2.4,285|805|1350|4697|4900|59286,ANGPT2|CALM2|COX7C|NDUFA4|NRGN|UBL5,-1.9,0
1,-4.5,M41691,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PLATELET MEGAKARYOCYTE CELL,,-4.5,5,5.7,30286,604,100,10,10,3,801|808|830|2597|3006|4900|7534|64805|128344|401494,CALM1|CALM3|CAPZA2|GAPDH|H1-2|NRGN|YWHAZ|P2RY12|CIMAP3|HACD4,-1.7,0
1,-4.4,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-4.4,6.4,6.1,30286,381,100,8,8,2.7,226|1350|2597|4697|7167|7314|23741|400916,ALDOA|COX7C|GAPDH|NDUFA4|TPI1|UBB|EID1|CHCHD10,-1.6,0
1,-4.2,M39242,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C23 ENDOTHELIAL CELLS AVR,,-4.2,12,7.1,30286,126,100,5,5,2.2,2597|3021|3326|7529|10209,GAPDH|H3-3B|HSP90AB1|YWHAB|EIF1,-1.5,0
1,-4.2,M41667,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CAPILLARY INTERMEDIATE 2 CELL,,-4.2,5.9,5.8,30286,408,100,8,8,2.7,801|808|830|1350|3151|4697|6613|59286,CALM1|CALM3|CAPZA2|COX7C|HMGN2|NDUFA4|SUMO2|UBL5,-1.5,0
1,-4.1,M40024,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL STEM CELLS,,-4.1,6.8,5.9,30286,311,100,7,7,2.6,1350|1602|3183|3190|3326|7534|9480,COX7C|DACH1|HNRNPC|HNRNPK|HSP90AB1|YWHAZ|ONECUT2,-1.4,0
1,-3.9,M39269,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA RGC,,-3.9,5.5,5.5,30286,443,100,8,8,2.7,805|808|1602|1879|2597|4747|7534|60592,CALM2|CALM3|DACH1|EBF1|GAPDH|NEFL|YWHAZ|SCOC,-1.3,0
1,-3.9,M41719,M1,1,0,Cell Type Signatures,7,FAN OVARY CL17 PUTATIVE APOPTOTIC SMOOTH MUSCLE CELL,,-3.9,7.9,6,30286,231,100,6,6,2.4,801|805|3021|3326|10209|23710,CALM1|CALM2|H3-3B|HSP90AB1|EIF1|GABARAPL1,-1.2,0
1,-3.8,M41706,M1,1,0,Cell Type Signatures,7,FAN OVARY CL4 T LYMPHOCYTE NK CELL 1,,-3.8,7.4,5.8,30286,246,100,6,6,2.4,801|2597|7314|7529|7534|10209,CALM1|GAPDH|UBB|YWHAB|YWHAZ|EIF1,-1.1,0
1,-3.7,M40014,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC PARIETAL CELLS,,-3.7,7.2,5.7,30286,254,100,6,6,2.4,801|1350|2597|4697|23710|400916,CALM1|COX7C|GAPDH|NDUFA4|GABARAPL1|CHCHD10,-1.1,0
1,-3.6,M39292,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM UNSPECIFIED,,-3.6,25,8.3,30286,37,100,3,3,1.7,801|805|128344,CALM1|CALM2|CIMAP3,-0.98,0
1,-3.6,M41690,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 2 CELL,,-3.6,4.8,5,30286,502,100,8,8,2.7,3021|3190|3326|4697|7314|7534|9934|27306,H3-3B|HNRNPK|HSP90AB1|NDUFA4|UBB|YWHAZ|P2RY14|HPGDS,-0.96,0
1,-3.6,M39258,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 8 CONNECTING TUBULE CELLS,,-3.6,6.8,5.5,30286,267,100,6,6,2.4,1350|4697|7529|9296|84707|400916,COX7C|NDUFA4|YWHAB|ATP6V1F|BEX2|CHCHD10,-0.96,0
1,-3.5,M41689,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 1 CELL,,-3.5,6.6,5.4,30286,276,100,6,6,2.4,3021|3326|4697|9296|9934|27306,H3-3B|HSP90AB1|NDUFA4|ATP6V1F|P2RY14|HPGDS,-0.91,0
1,-3.5,M39218,M1,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C9 GRANULOCYTE MACROPHAGE PROGENITOR,,-3.5,12,6.4,30286,100,100,4,4,2,801|2597|3021|3151,CALM1|GAPDH|H3-3B|HMGN2,-0.89,0
1,-3.3,M40027,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL EARLY IMMATURE ENTEROCYTES,,-3.3,11,6,30286,113,100,4,4,2,801|805|1350|400916,CALM1|CALM2|COX7C|CHCHD10,-0.73,0
1,-3.2,M41700,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-3.2,3.8,4.3,30286,726,100,9,9,2.9,2597|3021|3183|4067|7534|9296|10209|23710|59286,GAPDH|H3-3B|HNRNPC|LYN|YWHAZ|ATP6V1F|EIF1|GABARAPL1|UBL5,-0.66,0
1,-3.1,M40291,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN STROMAL CELLS,,-3.1,17,6.7,30286,54,100,3,3,1.7,8633|57689|90293,UNC5C|LRRC4C|KLHL13,-0.62,0
1,-3.1,M40010,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-3.1,4.6,4.5,30286,458,100,7,7,2.6,805|808|2597|3326|7529|7534|23204,CALM2|CALM3|GAPDH|HSP90AB1|YWHAB|YWHAZ|ARL6IP1,-0.6,0
1,-3,M41751,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-3,5.2,4.6,30286,347,100,6,6,2.4,226|1350|2597|5094|9296|10209,ALDOA|COX7C|GAPDH|PCBP2|ATP6V1F|EIF1,-0.5,0
1,-2.9,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-2.9,3.9,4.2,30286,629,100,8,8,2.7,226|2597|3190|5094|6613|7167|23741|400916,ALDOA|GAPDH|HNRNPK|PCBP2|SUMO2|TPI1|EID1|CHCHD10,-0.48,0
1,-2.8,M41709,M1,1,0,Cell Type Signatures,7,FAN OVARY CL7 ANGEIOGENIC ENDOTHELIAL CELL,,-2.8,6,4.6,30286,251,100,5,5,2.2,285|801|830|7529|23741,ANGPT2|CALM1|CAPZA2|YWHAB|EID1,-0.4,0
1,-2.8,M39268,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA PHOTORECEPTOR,,-2.8,13,5.7,30286,71,100,3,3,1.7,3021|4826|7167,H3-3B|NNAT|TPI1,-0.36,0
1,-2.7,M41714,M1,1,0,Cell Type Signatures,7,FAN OVARY CL12 T LYMPHOCYTE NK CELL 2,,-2.7,7.5,4.8,30286,161,100,4,4,2,801|7314|7529|10209,CALM1|UBB|YWHAB|EIF1,-0.31,0
1,-2.6,M40003,M1,1,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL EARLY SUPRABASAL CELLS,,-2.6,12,5.4,30286,79,100,3,3,1.7,805|3183|3326,CALM2|HNRNPC|HSP90AB1,-0.26,0
1,-2.6,M39168,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ALPHA CELL,,-2.6,3.7,3.8,30286,568,100,7,7,2.6,801|1602|3006|3151|7314|59286|84707,CALM1|DACH1|H1-2|HMGN2|UBB|UBL5|BEX2,-0.2,0
1,-2.5,M39291,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM MATURE NEURONS,,-2.5,6.5,4.3,30286,187,100,4,4,2,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-0.14,0
1,-2.4,M40228,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER MESOTHELIAL CELLS,,-2.4,4.9,4,30286,310,100,5,5,2.2,1687|3624|23767|26071|29119,GSDME|INHBA|FLRT3|RTL8A|CTNNA3,-0.12,0
1,-2.4,M39256,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 6 COLLECTING DUCT CELLS,,-2.4,9.7,4.8,30286,94,100,3,3,1.7,801|10209|60592,CALM1|EIF1|SCOC,-0.11,0
1,-2.4,M39200,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW IMMATURE NEUTROPHIL,,-2.4,6.2,4.2,30286,194,100,4,4,2,3021|5094|9296|23710,H3-3B|PCBP2|ATP6V1F|GABARAPL1,-0.098,0
1,-2.4,M39189,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW CD34 POS PRE B,,-2.4,9.3,4.7,30286,98,100,3,3,1.7,1687|3006|79161,GSDME|H1-2|TMEM243,-0.082,0
1,-2.2,M39201,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW MONOCYTE,,-2.2,5.3,3.8,30286,227,100,4,4,2,805|830|4067|400916,CALM2|CAPZA2|LYN|CHCHD10,0,0
1,-2.1,M39069,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA2,,-2.1,3.5,3.3,30286,513,100,6,6,2.4,1006|4826|23710|23767|84707|90293,CDH8|NNAT|GABARAPL1|FLRT3|BEX2|KLHL13,0,0
1,-2.1,M39175,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-2.1,3.1,3.2,30286,680,100,7,7,2.6,1879|2597|3624|7167|23452|23741|25907,EBF1|GAPDH|INHBA|TPI1|ANGPTL2|EID1|TMEM158,0,0
1,-2.1,M39022,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS MICROGLIA,,-2.1,4.1,3.4,30286,371,100,5,5,2.2,1794|3006|4067|27306|64805,DOCK2|H1-2|LYN|HPGDS|P2RY12,0,0
