Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
5127,CDK16,cyclin dependent kinase 16,GO:0030252 growth hormone secretion;GO:0061178 regulation of insulin secretion involved in cellular response to glucose stimulus;GO:0030072 peptide hormone secretion,yes,Enzymes; Kinases:CMGC Ser/Thr protein kinases; ENZYME proteins:Transferases; Predicted intracellular proteins,Cytosol;Microtubules (Supported); Additional: Plasma membrane,,
57060,PCBP4,poly(rC) binding protein 4,"GO:0048025 negative regulation of mRNA splicing, via spliceosome;GO:0050686 negative regulation of mRNA processing;GO:0033119 negative regulation of RNA splicing",,Predicted intracellular proteins,Cytosol (Supported),(M145)PID P53 DOWNSTREAM PATHWAY,
11113,CIT,citron rho-interacting serine/threonine kinase,GO:0035331 negative regulation of hippo signaling;GO:0035330 regulation of hippo signaling;GO:0032467 positive regulation of cytokinesis,yes,Enzymes; Kinases:AGC Ser/Thr protein kinases; Potential drug targets; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; ENZYME proteins:Transferases; Predicted intracellular proteins; Disease related genes,Cytosol (Approved),(M12)PID RHOA PATHWAY,(M5925)HALLMARK E2F TARGETS
118813,ZFYVE27,zinc finger FYVE-type containing 27,GO:0071787 endoplasmic reticulum tubular network formation;GO:0048011 neurotrophin TRK receptor signaling pathway;GO:0071786 endoplasmic reticulum tubular network organization,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Potential drug targets; Transporters:Transporter channels and pores; Disease related genes,Nucleoplasm;Vesicles (Approved); Additional: Cytosol,,
57447,NDRG2,NDRG family member 2,GO:0090361 regulation of platelet-derived growth factor production;GO:1990874 vascular associated smooth muscle cell proliferation;GO:0048659 smooth muscle cell proliferation,,Predicted intracellular proteins,Centriolar satellite (Approved); Additional: Cytosol;Nucleoplasm,(M254)PID MYC REPRESS PATHWAY,(M5934)HALLMARK XENOBIOTIC METABOLISM
55898,UNC45A,unc-45 myosin chaperone A,GO:0061077 chaperone-mediated protein folding;GO:0006457 protein folding;GO:0007517 muscle organ development,,Predicted intracellular proteins; Disease related genes,Nuclear speckles (Supported); Additional: Cytosol,,
170691,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,GO:0030198 extracellular matrix organization;GO:0043062 extracellular structure organization;GO:0045229 external encapsulating structure organization,,Predicted secreted proteins; Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Nucleoplasm (Approved),(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
59284,CACNG7,calcium voltage-gated channel auxiliary subunit gamma 7,"GO:0098943 neurotransmitter receptor transport, postsynaptic endosome to lysosome;GO:0098953 receptor diffusion trapping;GO:0098970 postsynaptic neurotransmitter receptor diffusion trapping",,FDA approved drug targets:Small molecule drugs; Transporters:Accessory Factors Involved in Transport,,,
727957,MROH1,maestro heat like repeat family member 1,,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,,
23521,RPL13A,ribosomal protein L13a,GO:1901193 regulation of formation of translation preinitiation complex;GO:1901194 negative regulation of formation of translation preinitiation complex;GO:1904689 negative regulation of cytoplasmic translational initiation,,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Nucleoli (Approved),(M5493)WNT SIGNALING,
136227,COL26A1,collagen type XXVI alpha 1 chain,GO:0010811 positive regulation of cell-substrate adhesion;GO:0010810 regulation of cell-substrate adhesion;GO:0045785 positive regulation of cell adhesion,,Predicted secreted proteins,Vesicles (Approved),(M3005)NABA COLLAGENS; (M5884)NABA CORE MATRISOME; (M5889)NABA MATRISOME,
4504,MT3,metallothionein 3,GO:2000296 negative regulation of hydrogen peroxide catabolic process;GO:2000376 positive regulation of oxygen metabolic process;GO:2000374 regulation of oxygen metabolic process,,Predicted intracellular proteins,,,(M5921)HALLMARK COMPLEMENT
9645,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",GO:0019417 sulfur oxidation;GO:0030042 actin filament depolymerization;GO:0051261 protein depolymerization,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Oxidoreductases,Cytosol;Golgi apparatus (Uncertain); Additional: Nucleoplasm;Plasma membrane,,
824,CAPN2,calpain 2,GO:0150173 positive regulation of phosphatidylcholine metabolic process;GO:2001247 positive regulation of phosphatidylcholine biosynthetic process;GO:2001245 regulation of phosphatidylcholine biosynthetic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Peptidases:Cysteine-type peptidases,Cytosol (Supported),(M281)PID FAK PATHWAY; (M164)PID ERBB1 DOWNSTREAM PATHWAY,(M5946)HALLMARK COAGULATION
64421,DCLRE1C,DNA cross-link repair 1C,GO:0033151 V(D)J recombination;GO:0036297 interstrand cross-link repair;GO:0002562 somatic diversification of immune receptors via germline recombination within a single locus,,Human disease related genes:Immune system diseases:Primary immunodeficiency; Predicted intracellular proteins; Disease related genes,Nucleoplasm (Supported); Additional: Golgi apparatus,(M42)PID DNA PK PATHWAY; (M84)PID ATM PATHWAY,
201625,DNAH12,dynein axonemal heavy chain 12,GO:0007018 microtubule-based movement;GO:0007017 microtubule-based process;GO:0009987 cellular process,,Cancer-related genes:Mutated cancer genes; Predicted intracellular proteins,Centrosome (Approved); Additional: Cytosol,,
5621,PRNP,prion protein (Kanno blood group),GO:1902938 regulation of intracellular calcium activated chloride channel activity;GO:1902951 negative regulation of dendritic spine maintenance;GO:1900449 regulation of glutamate receptor signaling pathway,,Disease related genes; Transporters:Transporter channels and pores; CD markers; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Potential drug targets,Cytosol;Nuclear membrane (Approved); Additional: Vesicles,(M33)PID GLYPICAN 1PATHWAY,(M5938)HALLMARK REACTIVE OXYGEN SPECIES PATHWAY; (M5947)HALLMARK IL2 STAT5 SIGNALING; (M5909)HALLMARK MYOGENESIS
26528,DAZAP1,DAZ associated protein 1,"GO:0001893 maternal placenta development;GO:0048026 positive regulation of mRNA splicing, via spliceosome;GO:0050685 positive regulation of mRNA processing",,Predicted intracellular proteins,Nucleoplasm (Enhanced); Additional: Cytosol,,
