_MEMBER_Rpl37a,_LogP_Rpl37a,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.4,M41683,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CD4 MEMORY EFFECTOR T CELL,,-4.4,46,11,30286,71,28,3,11,5.8,824|6232|23521,CAPN2|RPS27|RPL13A,-1.1,0
1,-4.3,M40001,M1,1,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-4.3,42,11,30286,77,28,3,11,5.8,1191|5621|23521,CLU|PRNP|RPL13A,-0.98,0
1,-4.3,M41668,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BRONCHIAL VESSEL 1 CELL,,-4.3,19,8.4,30286,224,28,4,14,6.6,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-0.98,0
1,-4.2,M39082,M1,1,0,Cell Type Signatures,7,ZHONG PFC C9 ORG OTHER,,-4.2,39,11,30286,83,28,3,11,5.8,1191|4504|57447,CLU|MT3|NDRG2,-0.93,0
1,-3.9,M39227,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-3.9,16,7.4,30286,278,28,4,14,6.6,824|1191|6232|23521,CAPN2|CLU|RPS27|RPL13A,-0.73,0
1,-3.8,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-3.8,14,7,30286,305,28,4,14,6.6,1191|6170|6232|23521,CLU|RPL39|RPS27|RPL13A,-0.64,0
1,-3.7,M40024,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL STEM CELLS,,-3.7,14,7,30286,311,28,4,14,6.6,1191|6170|6232|23521,CLU|RPL39|RPS27|RPL13A,-0.63,0
1,-3.7,M39074,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES ASTROCYTES,,-3.7,13,6.8,30286,325,28,4,14,6.6,1191|4504|57447|93145,CLU|MT3|NDRG2|OLFM2,-0.63,0
1,-3.7,M39238,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-3.7,13,6.8,30286,326,28,4,14,6.6,824|1191|6232|23521,CAPN2|CLU|RPS27|RPL13A,-0.63,0
1,-3.6,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-3.6,8.6,5.9,30286,629,28,5,18,7.2,5621|6170|6227|23521|57447,PRNP|RPL39|RPS21|RPL13A|NDRG2,-0.59,0
1,-3.5,M41702,M1,1,0,Cell Type Signatures,7,FAN OVARY CL0 XBP1 SELK HIGH STROMAL CELL,,-3.5,23,7.9,30286,143,28,3,11,5.8,6170|6232|23521,RPL39|RPS27|RPL13A,-0.51,0
1,-3.4,M39034,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX ASTROCYTE 2,,-3.4,21,7.6,30286,153,28,3,11,5.8,1191|4504|57447,CLU|MT3|NDRG2,-0.44,0
1,-3.4,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-3.4,11,6.2,30286,381,28,4,14,6.6,824|6227|6232|23521,CAPN2|RPS21|RPS27|RPL13A,-0.44,0
1,-3.4,M39107,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C3 NK NKT CELLS 2,,-3.4,20,7.4,30286,162,28,3,11,5.8,6170|6232|23521,RPL39|RPS27|RPL13A,-0.4,0
1,-3.3,M39202,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NAIVE T CELL,,-3.3,11,6,30286,403,28,4,14,6.6,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-0.38,0
1,-3.3,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-3.3,7.4,5.3,30286,731,28,5,18,7.2,824|6170|6227|6232|23521,CAPN2|RPL39|RPS21|RPS27|RPL13A,-0.38,0
1,-3.2,M41651,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASAL CELL,,-3.2,17,6.8,30286,188,28,3,11,5.8,1191|5621|23521,CLU|PRNP|RPL13A,-0.28,0
1,-3.1,M40019,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC X CELLS,,-3.1,17,6.7,30286,191,28,3,11,5.8,773|1191|57060,CACNA1A|CLU|PCBP4,-0.27,0
1,-2.7,M41689,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 1 CELL,,-2.7,12,5.5,30286,276,28,3,11,5.8,1191|5621|57447,CLU|PRNP|NDRG2,0,0
1,-2.5,M41679,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG MESOTHELIAL CELL,,-2.5,6.7,4.4,30286,649,28,4,14,6.6,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,0,0
1,-2.5,M39237,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-2.5,10,5,30286,322,28,3,11,5.8,1191|6232|23521,CLU|RPS27|RPL13A,0,0
1,-2.4,M39229,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-2.4,9.2,4.7,30286,353,28,3,11,5.8,824|6232|23521,CAPN2|RPS27|RPL13A,0,0
1,-2.3,M39052,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOPC,,-2.3,8.9,4.6,30286,366,28,3,11,5.8,4504|57447|59284,MT3|NDRG2|CACNG7,0,0
