_MEMBER_Itm2c,_LogP_Itm2c,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-10,M41679,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG MESOTHELIAL CELL,,-10,19,13,30286,649,25,10,40,9.8,514|6133|6139|6157|6159|6161|6164|6175|6202|84919,ATP5F1E|RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|PPP1R15B,-6.9,0
1,-10,M41753,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE B CELLS,,-10,48,18,30286,177,25,7,28,9,3726|6133|6157|6159|6161|6164|6202,JUNB|RPL9|RPL27A|RPL29|RPL32|RPL34|RPS8,-6.6,0
1,-9.8,M41704,M1,1,0,Cell Type Signatures,7,FAN OVARY CL2 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 1,,-9.8,74,21,30286,98,25,6,24,8.5,3726|6139|6161|6164|6202|7077,JUNB|RPL17|RPL32|RPL34|RPS8|TIMP2,-6.4,0
1,-9.4,M41648,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CLUB CELL,,-9.4,64,19,30286,114,25,6,24,8.5,6157|6159|6161|6164|6202|6217,RPL27A|RPL29|RPL32|RPL34|RPS8|RPS16,-6,0
1,-9.3,M41668,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BRONCHIAL VESSEL 1 CELL,,-9.3,38,16,30286,224,25,7,28,9,6157|6159|6161|6164|6175|6202|6217,RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-6,0
1,-9.3,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-9.3,25,14,30286,381,25,8,32,9.3,514|6133|6157|6161|6164|6175|6202|6217,ATP5F1E|RPL9|RPL27A|RPL32|RPL34|RPLP0|RPS8|RPS16,-6,0
1,-8.4,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-8.4,15,11,30286,731,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-5.1,0
1,-8.1,M41651,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASAL CELL,,-8.1,39,15,30286,188,25,6,24,8.5,3726|5621|6133|6159|6161|6175,JUNB|PRNP|RPL9|RPL29|RPL32|RPLP0,-4.8,0
1,-7.6,M41747,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE PCV ENDOTHELIAL CELLS,,-7.6,32,14,30286,225,25,6,24,8.5,6139|6159|6161|6164|6175|6202,RPL17|RPL29|RPL32|RPL34|RPLP0|RPS8,-4.4,0
1,-7.2,M39228,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-7.2,27,12,30286,268,25,6,24,8.5,6133|6161|6164|6175|6202|6217,RPL9|RPL32|RPL34|RPLP0|RPS8|RPS16,-4,0
1,-7.1,M39227,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-7.1,26,12,30286,278,25,6,24,8.5,6133|6161|6164|6175|6202|6217,RPL9|RPL32|RPL34|RPLP0|RPS8|RPS16,-3.9,0
1,-7,M41702,M1,1,0,Cell Type Signatures,7,FAN OVARY CL0 XBP1 SELK HIGH STROMAL CELL,,-7,42,14,30286,143,25,5,20,8,6133|6139|6161|6164|6202,RPL9|RPL17|RPL32|RPL34|RPS8,-3.8,0
1,-6.8,M40024,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL STEM CELLS,,-6.8,23,11,30286,311,25,6,24,8.5,6133|6157|6161|6164|6202|6217,RPL9|RPL27A|RPL32|RPL34|RPS8|RPS16,-3.7,0
1,-6.7,M39107,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C3 NK NKT CELLS 2,,-6.7,37,13,30286,162,25,5,20,8,3726|6139|6157|6161|6164,JUNB|RPL17|RPL27A|RPL32|RPL34,-3.6,0
1,-6.7,M39237,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-6.7,23,11,30286,322,25,6,24,8.5,6133|6161|6164|6175|6202|6217,RPL9|RPL32|RPL34|RPLP0|RPS8|RPS16,-3.6,0
1,-6.7,M39238,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-6.7,22,11,30286,326,25,6,24,8.5,6133|6161|6164|6175|6202|6217,RPL9|RPL32|RPL34|RPLP0|RPS8|RPS16,-3.6,0
1,-6.5,M41751,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-6.5,21,11,30286,347,25,6,24,8.5,514|3726|6139|6161|6164|6217,ATP5F1E|JUNB|RPL17|RPL32|RPL34|RPS16,-3.4,0
1,-6.5,M39229,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-6.5,21,11,30286,353,25,6,24,8.5,514|6133|6161|6175|6202|6217,ATP5F1E|RPL9|RPL32|RPLP0|RPS8|RPS16,-3.4,0
1,-6.3,M39048,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES BASAL,,-6.3,61,15,30286,79,25,4,16,7.3,514|6133|6164|6202,ATP5F1E|RPL9|RPL34|RPS8,-3.3,0
1,-4.1,M40011,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC METALLOTHIONEIN CELLS,,-4.1,36,10,30286,100,25,3,12,6.5,6157|6159|6175,RPL27A|RPL29|RPLP0,-1.1,0
1,-3.8,M39242,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C23 ENDOTHELIAL CELLS AVR,,-3.8,29,9,30286,126,25,3,12,6.5,6175|6202|6217,RPLP0|RPS8|RPS16,-0.87,0
1,-3.8,M39251,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 1 EMBRYONIC RED BLOOD CELLS,,-3.8,29,9,30286,126,25,3,12,6.5,6159|6161|6175,RPL29|RPL32|RPLP0,-0.87,0
1,-3.5,M41671,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG AIRWAY SMOOTH MUSCLE CELL,,-3.5,22,7.8,30286,166,25,3,12,6.5,6157|6164|6217,RPL27A|RPL34|RPS16,-0.56,0
1,-3.3,M39203,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-3.3,11,6,30286,449,25,4,16,7.3,514|2850|5621|7077,ATP5F1E|GPR27|PRNP|TIMP2,-0.45,0
1,-3.1,M41690,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 2 CELL,,-3.1,9.7,5.6,30286,502,25,4,16,7.3,3726|5621|6164|84919,JUNB|PRNP|RPL34|PPP1R15B,-0.3,0
1,-2.9,M39068,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA1,,-2.9,8.3,5.1,30286,584,25,4,16,7.3,8851|126298|139065|266743,CDK5R1|IRGQ|SLITRK4|NPAS4,-0.092,0
1,-2.7,M41710,M1,1,0,Cell Type Signatures,7,FAN OVARY CL8 MATURE CUMULUS GRANULOSA CELL 2,,-2.7,7.5,4.8,30286,646,25,4,16,7.3,514|6139|6157|8482,ATP5F1E|RPL17|RPL27A|SEMA7A,0,0
1,-2.7,M41708,M1,1,0,Cell Type Signatures,7,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-2.7,12,5.6,30286,300,25,3,12,6.5,3726|6175|7077,JUNB|RPLP0|TIMP2,0,0
1,-2.6,M39070,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBGABA,,-2.6,6.9,4.5,30286,703,25,4,16,7.3,8851|126298|139065|266743,CDK5R1|IRGQ|SLITRK4|NPAS4,0,0
1,-2.5,M41688,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NEUTROPHIL CELL,,-2.5,9.9,4.9,30286,368,25,3,12,6.5,514|3726|9883,ATP5F1E|JUNB|POM121,0,0
1,-2.4,M41703,M1,1,0,Cell Type Signatures,7,FAN OVARY CL1 GPRC5A TNFRS12A HIGH SELECTABLE FOLLICLE STROMAL CELL,,-2.4,9.6,4.8,30286,380,25,3,12,6.5,5621|6133|6175,PRNP|RPL9|RPLP0,0,0
1,-2.3,M41667,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CAPILLARY INTERMEDIATE 2 CELL,,-2.3,8.9,4.6,30286,408,25,3,12,6.5,514|6157|6164,ATP5F1E|RPL27A|RPL34,0,0
1,-2.2,M39066,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBML5,,-2.2,7.8,4.3,30286,465,25,3,12,6.5,8851|126298|139065,CDK5R1|IRGQ|SLITRK4,0,0
1,-2.1,M39067,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA,,-2.1,7.2,4,30286,506,25,3,12,6.5,8851|126298|139065,CDK5R1|IRGQ|SLITRK4,0,0
1,-2.1,M39069,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA2,,-2.1,7.1,4,30286,513,25,3,12,6.5,8851|139065|266743,CDK5R1|SLITRK4|NPAS4,0,0
