_MEMBER_Ccdc115,_LogP_Ccdc115,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.2,GO:0045937,positive regulation of phosphate metabolic process,M1,1,0
1,-3.3,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,M1,1,0
1,-2.3,hsa04110,Cell cycle,M1,1,0
1,-4,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-2.1,GO:0001776,leukocyte homeostasis,M1,1,0
1,-3.8,GO:0045088,regulation of innate immune response,M1,1,0
1,-2.6,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.9,GO:1901342,regulation of vasculature development,M1,1,0
1,-2.3,GO:0048285,organelle fission,M1,1,0
1,-3.1,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-3,GO:0010720,positive regulation of cell development,M1,1,0
1,-2.1,GO:0009154,purine ribonucleotide catabolic process,M1,1,0
1,-4.4,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-3.5,hsa04114,Oocyte meiosis,M1,1,0
1,-2.6,GO:1901654,response to ketone,M1,1,0
1,-2.5,GO:0051640,organelle localization,M1,1,0
1,-4.4,GO:0031401,positive regulation of protein modification process,M1,1,0
1,-4.2,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",M1,1,0
1,-4.9,GO:1902749,regulation of cell cycle G2/M phase transition,M1,1,0
1,-3.1,R-HSA-5653656,Vesicle-mediated transport,M1,1,0
1,-4.2,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-2.2,GO:1903829,positive regulation of protein localization,M1,1,0
1,-2.2,GO:0009132,nucleoside diphosphate metabolic process,M1,1,0
1,-2.3,GO:0007338,single fertilization,M1,1,0
1,-3.4,GO:0043632,modification-dependent macromolecule catabolic process,M1,1,0
1,-2.1,GO:0051493,regulation of cytoskeleton organization,M1,1,0
1,-3.4,GO:0061458,reproductive system development,M1,1,0
1,-2.6,GO:0006414,translational elongation,M1,1,0
1,-2.9,GO:0043410,positive regulation of MAPK cascade,M1,1,0
1,-2.9,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,M1,1,0
1,-2.8,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-3.4,GO:2000147,positive regulation of cell motility,M1,1,0
1,-2,GO:0048863,stem cell differentiation,M1,1,0
1,-2.6,GO:0070374,positive regulation of ERK1 and ERK2 cascade,M1,1,0
1,-2.3,GO:0007292,female gamete generation,M1,1,0
1,-3.5,GO:0070536,protein K63-linked deubiquitination,M1,1,0
1,-2.4,GO:0002260,lymphocyte homeostasis,M1,1,0
1,-4.4,R-HSA-9678108,SARS-CoV-1 Infection,M1,1,0
1,-2.7,GO:0007626,locomotory behavior,M1,1,0
1,-5.3,GO:0007420,brain development,M1,1,0
1,-2.7,GO:0009566,fertilization,M1,1,0
1,-2.1,hsa04360,Axon guidance,M1,1,0
1,-3,GO:0019722,calcium-mediated signaling,M1,1,0
1,-2.2,GO:0045860,positive regulation of protein kinase activity,M1,1,0
1,-2.4,GO:1901987,regulation of cell cycle phase transition,M1,1,0
1,-3.9,GO:0031349,positive regulation of defense response,M1,1,0
1,-2.7,GO:0045834,positive regulation of lipid metabolic process,M1,1,0
1,-3.1,GO:0062207,regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-2.5,GO:0048857,neural nucleus development,M1,1,0
1,-3.2,hsa04014,Ras signaling pathway,M1,1,0
1,-2.4,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-2.9,GO:0046434,organophosphate catabolic process,M1,1,0
1,-2.9,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-2.5,GO:0043405,regulation of MAP kinase activity,M1,1,0
1,-2,GO:0009261,ribonucleotide catabolic process,M1,1,0
1,-2.3,GO:2001236,regulation of extrinsic apoptotic signaling pathway,M1,1,0
1,-2.2,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.1,GO:1901991,negative regulation of mitotic cell cycle phase transition,M1,1,0
1,-2.7,hsa04010,MAPK signaling pathway,M1,1,0
1,-3.1,R-HSA-9824443,Parasitic Infection Pathways,M1,1,0
1,-3.3,GO:0030900,forebrain development,M1,1,0
1,-2,GO:0006575,cellular modified amino acid metabolic process,M1,1,0
1,-2.5,GO:0000280,nuclear division,M1,1,0
1,-2.2,GO:0071230,cellular response to amino acid stimulus,M1,1,0
1,-3.7,GO:0001655,urogenital system development,M1,1,0
1,-3.4,GO:0048608,reproductive structure development,M1,1,0
1,-4.5,GO:0031396,regulation of protein ubiquitination,M1,1,0
1,-3,GO:0050919,negative chemotaxis,M1,1,0
1,-3.3,R-HSA-9706574,RHOBTB GTPase Cycle,M1,1,0
1,-2.7,GO:0002221,pattern recognition receptor signaling pathway,M1,1,0
1,-2,GO:0046545,development of primary female sexual characteristics,M1,1,0
1,-2,GO:1903311,regulation of mRNA metabolic process,M1,1,0
1,-2.1,GO:2001233,regulation of apoptotic signaling pathway,M1,1,0
1,-4.9,GO:0031175,neuron projection development,M1,1,0
1,-3.4,R-HSA-2871809,FCERI mediated Ca+2 mobilization,M1,1,0
1,-5.7,R-HSA-5683057,MAPK family signaling cascades,M1,1,0
1,-4.3,GO:0000902,cell morphogenesis,M1,1,0
1,-2.1,GO:0050801,monoatomic ion homeostasis,M1,1,0
1,-4,R-HSA-8953854,Metabolism of RNA,M1,1,0
1,-4,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M1,1,0
1,-3.1,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-2.7,GO:0008543,fibroblast growth factor receptor signaling pathway,M1,1,0
1,-4.2,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-2.4,R-HSA-68949,Orc1 removal from chromatin,M1,1,0
1,-3.6,GO:0035590,purinergic nucleotide receptor signaling pathway,M1,1,0
1,-2.2,GO:0051276,chromosome organization,M1,1,0
1,-2.5,GO:0034109,homotypic cell-cell adhesion,M1,1,0
1,-2.5,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,M1,1,0
1,-2.9,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,M1,1,0
1,-2.2,M5885,NABA MATRISOME ASSOCIATED,M1,1,0
1,-2.4,GO:0034655,nucleobase-containing compound catabolic process,M1,1,0
1,-2.6,GO:0051656,establishment of organelle localization,M1,1,0
1,-3.1,GO:0050807,regulation of synapse organization,M1,1,0
1,-2.6,GO:0001568,blood vessel development,M1,1,0
1,-4.3,CORUM:5199,Kinase maturation complex 1,M1,1,0
1,-2.7,R-HSA-109606,Intrinsic Pathway for Apoptosis,M1,1,0
1,-2.6,GO:0071902,positive regulation of protein serine/threonine kinase activity,M1,1,0
1,-3,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,M1,1,0
1,-3.6,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-4.6,GO:0035589,G protein-coupled purinergic nucleotide receptor signaling pathway,M1,1,0
1,-3.9,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,M1,1,0
1,-2.9,GO:0006511,ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.2,GO:1902369,negative regulation of RNA catabolic process,M1,1,0
1,-4.3,GO:0030850,prostate gland development,M1,1,0
1,-2.1,R-HSA-69473,G2/M DNA damage checkpoint,M1,1,0
1,-3.4,GO:2000241,regulation of reproductive process,M1,1,0
1,-3.9,GO:0031398,positive regulation of protein ubiquitination,M1,1,0
1,-3.1,GO:0009408,response to heat,M1,1,0
1,-3.3,R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,M1,1,0
1,-2.2,GO:0046889,positive regulation of lipid biosynthetic process,M1,1,0
1,-3.3,R-HSA-199991,Membrane Trafficking,M1,1,0
1,-3.5,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,M1,1,0
1,-2.4,GO:0050920,regulation of chemotaxis,M1,1,0
1,-3.1,GO:0000209,protein polyubiquitination,M1,1,0
1,-4,GO:0034605,cellular response to heat,M1,1,0
1,-2,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,M1,1,0
1,-2.4,GO:0050808,synapse organization,M1,1,0
1,-2.5,GO:1901292,nucleoside phosphate catabolic process,M1,1,0
1,-2.8,R-HSA-5654736,Signaling by FGFR1,M1,1,0
1,-2.1,GO:0050778,positive regulation of immune response,M1,1,0
1,-2.1,GO:0019439,aromatic compound catabolic process,M1,1,0
1,-2.5,hsa04915,Estrogen signaling pathway,M1,1,0
1,-4.6,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-2.7,GO:0051336,regulation of hydrolase activity,M1,1,0
1,-2.2,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-3.5,GO:1901875,positive regulation of post-translational protein modification,M1,1,0
1,-2.2,GO:0006468,protein phosphorylation,M1,1,0
1,-2.1,R-HSA-111885,Opioid Signalling,M1,1,0
1,-2.1,GO:1903432,regulation of TORC1 signaling,M1,1,0
1,-2.9,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-3.9,R-HSA-9013418,RHOBTB2 GTPase cycle,M1,1,0
1,-4.1,GO:0048858,cell projection morphogenesis,M1,1,0
1,-3.7,hsa04151,PI3K-Akt signaling pathway,M1,1,0
1,-3.9,GO:0048678,response to axon injury,M1,1,0
1,-2.3,GO:0035304,regulation of protein dephosphorylation,M1,1,0
1,-2.1,R-HSA-69052,Switching of origins to a post-replicative state,M1,1,0
1,-2.1,GO:0071774,response to fibroblast growth factor,M1,1,0
1,-3.6,GO:0060191,regulation of lipase activity,M1,1,0
1,-2.1,GO:0032465,regulation of cytokinesis,M1,1,0
1,-2.4,GO:0055082,intracellular chemical homeostasis,M1,1,0
1,-2.2,GO:1903169,regulation of calcium ion transmembrane transport,M1,1,0
1,-2.1,GO:0010638,positive regulation of organelle organization,M1,1,0
1,-3.2,R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,M1,1,0
1,-6.2,R-HSA-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-3.4,GO:0044089,positive regulation of cellular component biogenesis,M1,1,0
1,-2.1,GO:0007229,integrin-mediated signaling pathway,M1,1,0
1,-3.6,GO:0030335,positive regulation of cell migration,M1,1,0
1,-3,GO:0030097,hemopoiesis,M1,1,0
1,-2.5,R-HSA-422475,Axon guidance,M1,1,0
1,-2.1,GO:0016071,mRNA metabolic process,M1,1,0
1,-2.7,R-HSA-69620,Cell Cycle Checkpoints,M1,1,0
1,-2,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-4,R-HSA-69481,G2/M Checkpoints,M1,1,0
1,-3.7,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-3.9,GO:0050673,epithelial cell proliferation,M1,1,0
1,-3.4,R-HSA-5357801,Programmed Cell Death,M1,1,0
1,-3.4,R-HSA-72172,mRNA Splicing,M1,1,0
1,-4.2,R-HSA-9692914,SARS-CoV-1-host interactions,M1,1,0
1,-3.6,R-HSA-1640170,Cell Cycle,M1,1,0
1,-2.5,GO:0018212,peptidyl-tyrosine modification,M1,1,0
1,-2.3,R-HSA-500792,GPCR ligand binding,M1,1,0
1,-3,GO:1903312,negative regulation of mRNA metabolic process,M1,1,0
1,-3.4,GO:0032989,cellular anatomical entity morphogenesis,M1,1,0
1,-2.2,R-HSA-6802957,Oncogenic MAPK signaling,M1,1,0
1,-3.2,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-2,hsa05215,Prostate cancer,M1,1,0
1,-4.2,GO:0010562,positive regulation of phosphorus metabolic process,M1,1,0
1,-3.5,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,M1,1,0
1,-2.8,GO:0061136,regulation of proteasomal protein catabolic process,M1,1,0
1,-2.9,GO:0010389,regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-2.2,GO:0051321,meiotic cell cycle,M1,1,0
1,-5.2,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-2.2,GO:0043488,regulation of mRNA stability,M1,1,0
1,-2.9,GO:0030217,T cell differentiation,M1,1,0
1,-2.9,R-HSA-109581,Apoptosis,M1,1,0
1,-3.5,GO:0019941,modification-dependent protein catabolic process,M1,1,0
1,-3.5,GO:0051962,positive regulation of nervous system development,M1,1,0
1,-4.2,GO:0050679,positive regulation of epithelial cell proliferation,M1,1,0
1,-4.4,hsa04015,Rap1 signaling pathway,M1,1,0
1,-2.3,GO:1990138,neuron projection extension,M1,1,0
1,-3.3,R-HSA-9679506,SARS-CoV Infections,M1,1,0
1,-2.8,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.8,GO:0044818,mitotic G2/M transition checkpoint,M1,1,0
1,-3.4,GO:0060560,developmental growth involved in morphogenesis,M1,1,0
1,-2.7,GO:0050728,negative regulation of inflammatory response,M1,1,0
1,-2.6,GO:0021987,cerebral cortex development,M1,1,0
1,-2.7,GO:0009134,nucleoside diphosphate catabolic process,M1,1,0
1,-3,GO:0019725,cellular homeostasis,M1,1,0
1,-2.2,GO:0046700,heterocycle catabolic process,M1,1,0
1,-3.9,GO:1901873,regulation of post-translational protein modification,M1,1,0
1,-4.1,GO:0010517,regulation of phospholipase activity,M1,1,0
1,-2.7,GO:0007140,male meiotic nuclear division,M1,1,0
1,-2.6,GO:0043200,response to amino acid,M1,1,0
1,-3.9,GO:0001525,angiogenesis,M1,1,0
1,-3.1,GO:0031344,regulation of cell projection organization,M1,1,0
1,-2.7,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,M1,1,0
1,-2.2,GO:0006397,mRNA processing,M1,1,0
1,-2.8,GO:2001238,positive regulation of extrinsic apoptotic signaling pathway,M1,1,0
1,-2.1,GO:0007548,sex differentiation,M1,1,0
1,-3.6,GO:1902750,negative regulation of cell cycle G2/M phase transition,M1,1,0
1,-3.4,hsa05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-2.4,GO:0007507,heart development,M1,1,0
1,-3.7,GO:0043408,regulation of MAPK cascade,M1,1,0
1,-2.5,R-HSA-418594,G alpha (i) signalling events,M1,1,0
1,-2.2,GO:0002218,activation of innate immune response,M1,1,0
1,-2.5,GO:0050727,regulation of inflammatory response,M1,1,0
1,-2.1,GO:0071229,cellular response to acid chemical,M1,1,0
1,-2.4,GO:0002758,innate immune response-activating signaling pathway,M1,1,0
1,-3.6,GO:0045089,positive regulation of innate immune response,M1,1,0
1,-3.3,GO:0070372,regulation of ERK1 and ERK2 cascade,M1,1,0
1,-3,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M1,1,0
1,-2.2,R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),M1,1,0
1,-2.9,R-HSA-6802949,Signaling by RAS mutants,M1,1,0
1,-2.4,R-HSA-9824439,Bacterial Infection Pathways,M1,1,0
1,-3.5,GO:0071363,cellular response to growth factor stimulus,M1,1,0
1,-2.2,GO:0055080,monoatomic cation homeostasis,M1,1,0
1,-2.1,GO:0140013,meiotic nuclear division,M1,1,0
1,-3.3,GO:0070848,response to growth factor,M1,1,0
1,-2.8,GO:0060688,regulation of morphogenesis of a branching structure,M1,1,0
1,-3.6,GO:0007409,axonogenesis,M1,1,0
1,-2.9,R-HSA-372790,Signaling by GPCR,M1,1,0
1,-2.1,hsa04657,IL-17 signaling pathway,M1,1,0
1,-2.5,GO:0001101,response to acid chemical,M1,1,0
1,-2,hsa04750,Inflammatory mediator regulation of TRP channels,M1,1,0
1,-2.1,GO:0008585,female gonad development,M1,1,0
1,-2,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-2.5,GO:0071300,cellular response to retinoic acid,M1,1,0
1,-4.7,GO:0061564,axon development,M1,1,0
1,-3.5,GO:0031348,negative regulation of defense response,M1,1,0
1,-2.4,GO:1902373,negative regulation of mRNA catabolic process,M1,1,0
1,-2.7,GO:0051301,cell division,M1,1,0
1,-2.4,GO:0009636,response to toxic substance,M1,1,0
1,-3.5,GO:0030163,protein catabolic process,M1,1,0
1,-3.1,R-HSA-9658195,Leishmania infection,M1,1,0
1,-2.2,GO:0044270,cellular nitrogen compound catabolic process,M1,1,0
1,-4,GO:1903320,regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-2.6,GO:0070588,calcium ion transmembrane transport,M1,1,0
1,-2.8,GO:1903046,meiotic cell cycle process,M1,1,0
1,-2.2,GO:0071345,cellular response to cytokine stimulus,M1,1,0
1,-4.2,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.1,GO:0001936,regulation of endothelial cell proliferation,M1,1,0
1,-2.5,GO:0062208,positive regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-5.3,GO:0051338,regulation of transferase activity,M1,1,0
1,-3.2,GO:0040007,growth,M1,1,0
1,-2,GO:0061013,regulation of mRNA catabolic process,M1,1,0
1,-2.2,hsa04080,Neuroactive ligand-receptor interaction,M1,1,0
1,-3.1,GO:0051781,positive regulation of cell division,M1,1,0
1,-2.5,M255,PID HIF1 TFPATHWAY,M1,1,0
1,-2.8,GO:0060193,positive regulation of lipase activity,M1,1,0
1,-2.4,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.4,hsa04924,Renin secretion,M1,1,0
1,-2,GO:0030098,lymphocyte differentiation,M1,1,0
1,-3.5,R-HSA-72163,mRNA Splicing - Major Pathway,M1,1,0
1,-4.1,hsa04390,Hippo signaling pathway,M1,1,0
1,-2.7,R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",M1,1,0
1,-2.2,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-2.5,GO:0018108,peptidyl-tyrosine phosphorylation,M1,1,0
1,-3.1,GO:0009266,response to temperature stimulus,M1,1,0
1,-2.1,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2.9,GO:0040011,locomotion,M1,1,0
1,-2,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,M1,1,0
1,-2.9,R-HSA-9649948,Signaling downstream of RAS mutants,M1,1,0
1,-2.4,GO:0043489,RNA stabilization,M1,1,0
