_MEMBER_Abi2,_LogP_Abi2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.4,C0001175,M1,1,0,DisGeNET,35,Acquired Immunodeficiency Syndrome,,-3.4,21,7.5,30286,243,18,3,17,8.8,348|5621|5764,APOE|PRNP|PTN,-0.45,0
1,-3.4,C0009241,M1,1,0,DisGeNET,35,Cognition Disorders,,-3.4,11,6.1,30286,606,18,4,22,9.8,348|1471|5621|7534,APOE|CST3|PRNP|YWHAZ,-0.45,0
1,-3.4,C0949664,M1,1,0,DisGeNET,35,Tauopathies,,-3.4,21,7.5,30286,245,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.45,0
1,-3.4,C0333463,M1,1,0,DisGeNET,35,Senile Plaques,,-3.4,20,7.4,30286,249,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.44,0
1,-3.4,C0752347,M1,1,0,DisGeNET,35,Lewy Body Disease,,-3.4,20,7.3,30286,255,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.43,0
1,-3.3,C0025286,M1,1,0,DisGeNET,35,Meningioma,,-3.3,11,6,30286,634,18,4,22,9.8,348|1471|5764|7534,APOE|CST3|PTN|YWHAZ,-0.43,0
1,-3.3,C0276496,M1,1,0,DisGeNET,35,Familial Alzheimer Disease (FAD),,-3.3,19,7.3,30286,260,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.43,0
1,-3.3,C0003578,M1,1,0,DisGeNET,35,Apnea,,-3.3,19,7.3,30286,261,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.43,0
1,-3.3,C0011884,M1,1,0,DisGeNET,35,Diabetic Retinopathy,,-3.3,10,5.9,30286,644,18,4,22,9.8,348|1471|5621|5764,APOE|CST3|PRNP|PTN,-0.42,0
1,-3.2,C0007785,M1,1,0,DisGeNET,35,Cerebral Infarction,,-3.2,9.8,5.7,30286,687,18,4,22,9.8,348|1471|5621|7534,APOE|CST3|PRNP|YWHAZ,-0.33,0
1,-3.2,C0002726,M1,1,0,DisGeNET,35,Amyloidosis,,-3.2,9.7,5.7,30286,694,18,4,22,9.8,348|1471|5621|64137,APOE|CST3|PRNP|ABCG4,-0.33,0
1,-3.1,C0011265,M1,1,0,DisGeNET,35,Presenile dementia,,-3.1,9.4,5.5,30286,718,18,4,22,9.8,348|1471|5621|64137,APOE|CST3|PRNP|ABCG4,-0.29,0
1,-3.1,C0037317,M1,1,0,DisGeNET,35,Sleep disturbances,,-3.1,16,6.6,30286,310,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.28,0
1,-3.1,C0013384,M1,1,0,DisGeNET,35,Dyskinetic syndrome,,-3.1,16,6.5,30286,316,18,3,17,8.8,348|1471|5764,APOE|CST3|PTN,-0.26,0
1,-3.1,C0007682,M1,1,0,DisGeNET,35,CNS disorder,,-3.1,16,6.5,30286,319,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.26,0
1,-3.1,C0740279,M1,1,0,DisGeNET,35,Cerebellar atrophy,,-3.1,16,6.5,30286,321,18,3,17,8.8,5621|7534|27445,PRNP|YWHAZ|PCLO,-0.26,0
1,-3.1,C0014038,M1,1,0,DisGeNET,35,Encephalitis,,-3.1,16,6.4,30286,324,18,3,17,8.8,348|5621|7534,APOE|PRNP|YWHAZ,-0.26,0
1,-3,C0006111,M1,1,0,DisGeNET,35,Brain Diseases,,-3,15,6.2,30286,345,18,3,17,8.8,348|5621|64137,APOE|PRNP|ABCG4,-0.2,0
1,-3,C0031117,M1,1,0,DisGeNET,35,Peripheral Neuropathy,,-3,14,6.1,30286,351,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.19,0
1,-2.9,C0851578,M1,1,0,DisGeNET,35,Sleep Disorders,,-2.9,14,6.1,30286,359,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.17,0
1,-2.9,C0339573,M1,1,0,DisGeNET,35,"Glaucoma, Primary Open Angle",,-2.9,13,5.9,30286,382,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.12,0
1,-2.8,C0027726,M1,1,0,DisGeNET,35,Nephrotic Syndrome,,-2.8,13,5.8,30286,384,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,-0.12,0
1,-2.8,C0494463,M1,1,0,DisGeNET,35,"Alzheimer Disease, Late Onset",,-2.8,13,5.8,30286,385,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.12,0
1,-2.8,C0017658,M1,1,0,DisGeNET,35,Glomerulonephritis,,-2.8,13,5.8,30286,391,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,-0.11,0
1,-2.7,C0086132,M1,1,0,DisGeNET,35,Depressive Symptoms,,-2.7,12,5.5,30286,421,18,3,17,8.8,348|1471|79966,APOE|CST3|SCD5,-0.035,0
1,-2.7,C1857276,M1,1,0,DisGeNET,35,Trichohepatoenteric Syndrome,,-2.7,12,5.5,30286,422,18,3,17,8.8,348|5621|64840,APOE|PRNP|PORCN,-0.035,0
1,-2.7,C1270972,M1,1,0,DisGeNET,35,Mild cognitive disorder,,-2.7,12,5.5,30286,430,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.023,0
1,-2.7,C0523465,M1,1,0,DisGeNET,35,Serum albumin measurement,,-2.7,12,5.4,30286,433,18,3,17,8.8,348|2495|79966,APOE|FTH1|SCD5,-0.023,0
1,-2.7,C0035222,M1,1,0,DisGeNET,35,"Respiratory Distress Syndrome, Adult",,-2.7,12,5.4,30286,434,18,3,17,8.8,1471|5764|7534,CST3|PTN|YWHAZ,-0.023,0
1,-2.7,C0001339,M1,1,0,DisGeNET,35,Acute pancreatitis,,-2.7,12,5.4,30286,435,18,3,17,8.8,348|1471|81671,APOE|CST3|VMP1,-0.023,0
1,-2.6,C0206624,M1,1,0,DisGeNET,35,Hepatoblastoma,,-2.6,11,5.3,30286,452,18,3,17,8.8,348|1471|2495,APOE|CST3|FTH1,0,0
1,-2.6,C0017661,M1,1,0,DisGeNET,35,IGA Glomerulonephritis,,-2.6,11,5.3,30286,456,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,0,0
1,-2.6,C0279628,M1,1,0,DisGeNET,35,Adenocarcinoma Of Esophagus,,-2.6,11,5.2,30286,467,18,3,17,8.8,2495|7534|81671,FTH1|YWHAZ|VMP1,0,0
1,-2.5,C0020443,M1,1,0,DisGeNET,35,Hypercholesterolemia,,-2.5,10,5.1,30286,489,18,3,17,8.8,348|7534|64137,APOE|YWHAZ|ABCG4,0,0
1,-2.5,C3714514,M1,1,0,DisGeNET,35,Infection,,-2.5,10,5.1,30286,491,18,3,17,8.8,348|2495|5621,APOE|FTH1|PRNP,0,0
1,-2.5,C0040822,M1,1,0,DisGeNET,35,Tremor,,-2.5,9.6,4.8,30286,528,18,3,17,8.8,348|5621|7534,APOE|PRNP|YWHAZ,0,0
1,-2.4,C4721453,M1,1,0,DisGeNET,35,Peripheral Nervous System Diseases,,-2.4,9.2,4.7,30286,549,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,0,0
1,-2.3,C0271650,M1,1,0,DisGeNET,35,Impaired glucose tolerance,,-2.3,8.5,4.5,30286,596,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,0,0
1,-2.3,C0200638,M1,1,0,DisGeNET,35,Eosinophil count procedure,,-2.3,8.3,4.4,30286,610,18,3,17,8.8,348|79966|81671,APOE|SCD5|VMP1,0,0
1,-2.2,C2316810,M1,1,0,DisGeNET,35,Chronic kidney disease stage 5,,-2.2,7.6,4.2,30286,666,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,0,0
1,-2.2,C4521042,M1,1,0,DisGeNET,35,Complete Trisomy 21 Syndrome,,-2.2,7.6,4.2,30286,668,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,0,0
1,-2.1,C0242383,M1,1,0,DisGeNET,35,Age related macular degeneration,,-2.1,7.4,4.1,30286,685,18,3,17,8.8,348|1471|79966,APOE|CST3|SCD5,0,0
1,-2.1,C0042373,M1,1,0,DisGeNET,35,Vascular Diseases,,-2.1,7.3,4.1,30286,688,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,0,0
1,-2.1,C2363741,M1,1,0,DisGeNET,35,HIV-1 infection,,-2.1,7.3,4.1,30286,695,18,3,17,8.8,348|5621|79966,APOE|PRNP|SCD5,0,0
1,-2.1,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-2.1,7,4,30286,724,18,3,17,8.8,2495|3760|5764,FTH1|KCNJ3|PTN,0,0
1,-2,C1384666,M1,1,0,DisGeNET,35,hearing impairment,,-2,6.8,3.9,30286,739,18,3,17,8.8,348|27445|64840,APOE|PCLO|PORCN,0,0
1,-2,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-2,6.6,3.8,30286,764,18,3,17,8.8,348|5764|81671,APOE|PTN|VMP1,0,0
1,-2,C0013080,M1,1,0,DisGeNET,35,Down Syndrome,,-2,6.6,3.8,30286,765,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,0,0
