_MEMBER_Hdac4,_LogP_Hdac4,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.379163898556036,GO:0022898,M1,1,0,GO Biological Processes,19,regulation of transmembrane transporter activity,19_GO:0051179 localization,-4.379163898556036,20.346657709103123,8.614238159489831,30286,229,26,4,15.384615384615385,7.07589393082923,801|5621|6324|6327,CALM1|PRNP|SCN1B|SCN2B,-1.172551913310965,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.353803248925576,GO:0043269,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transport,19_GO:0051179 localization,-4.353803248925576,12.391980360065466,7.296077992501566,30286,470,26,5,19.23076923076923,7.729201466043273,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.172551913310965,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.272182200137238,GO:0034762,M1,1,0,GO Biological Processes,19,regulation of transmembrane transport,19_GO:0051179 localization,-4.272182200137238,11.910492370615069,7.129819087491402,30286,489,26,5,19.23076923076923,7.729201466043273,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.1227894897373598,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-4.165074722581648,GO:0032409,M1,1,0,GO Biological Processes,19,regulation of transporter activity,19_GO:0065007 biological regulation,-4.165074722581648,17.920710059171597,8.031978157720385,30286,260,26,4,15.384615384615385,7.07589393082923,801|5621|6324|6327,CALM1|PRNP|SCN1B|SCN2B,-1.068144272667072,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-3.990945706848549,GO:0044057,M1,1,0,GO Biological Processes,19,regulation of system process,19_GO:0032501 multicellular organismal process,-3.990945706848549,10.381873028931851,6.574701668143529,30286,561,26,5,19.23076923076923,7.729201466043273,801|1129|5999|6324|6327,CALM1|CHRM2|RGS4|SCN1B|SCN2B,-0.9188388406590057,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-3.708818247688603,R-HSA-5576891,M1,1,0,Reactome Gene Sets,6,Cardiac conduction,,-3.708818247688603,26.473776223776223,8.597532593017636,30286,132,26,3,11.538461538461538,6.265626800161944,801|6324|6327,CALM1|SCN1B|SCN2B,-0.7036581711296728,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-3.1497544186564572,R-HSA-397014,M1,1,0,Reactome Gene Sets,6,Muscle contraction,,-3.1497544186564572,17.046529080675423,6.757373189169507,30286,205,26,3,11.538461538461538,6.265626800161944,801|6324|6327,CALM1|SCN1B|SCN2B,-0.2847730452625639,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-2.270726695146511,GO:0008015,M1,1,0,GO Biological Processes,19,blood circulation,19_GO:0032501 multicellular organismal process,-2.270726695146511,8.36013986013986,4.44157640911723,30286,418,26,3,11.538461538461538,6.265626800161944,6324|6327|23576,SCN1B|SCN2B|DDAH1,0.0,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-2.038242345712815,GO:0003013,M1,1,0,GO Biological Processes,19,circulatory system process,19_GO:0032501 multicellular organismal process,-2.038242345712815,6.8790127195639,3.917008322543973,30286,508,26,3,11.538461538461538,6.265626800161944,6324|6327|23576,SCN1B|SCN2B|DDAH1,0.0,0,1,0,0,-6.111287037362058,102.78054298642533,
1,-5.501521395263423,GO:0050804,M1,1,0,GO Biological Processes,19,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-5.501521395263423,14.176626618817288,8.646425068322477,30286,493,26,6,23.076923076923077,8.262863931224224,1129|4297|4747|5621|5999|147381,CHRM2|KMT2A|NEFL|PRNP|RGS4|CBLN2,-1.932008227182555,0,2,1,1,-5.501521395263423,14.380816714150047,
1,-5.496462216868768,GO:0099177,M1,1,0,GO Biological Processes,19,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-5.496462216868768,14.14792899408284,8.636484460600968,30286,494,26,6,23.076923076923077,8.262863931224224,1129|4297|4747|5621|5999|147381,CHRM2|KMT2A|NEFL|PRNP|RGS4|CBLN2,-1.932008227182555,0,2,0,0,-5.501521395263423,14.380816714150047,
1,-2.9365731730111775,GO:0050807,M1,1,0,GO Biological Processes,19,regulation of synapse organization,19_GO:0050789 regulation of biological process,-2.9365731730111775,14.380816714150047,6.138752315763088,30286,243,26,3,11.538461538461538,6.265626800161944,4747|5621|147381,NEFL|PRNP|CBLN2,-0.14696642178476257,0,2,0,0,-5.501521395263423,14.380816714150047,
1,-2.906144069010617,GO:0050803,M1,1,0,GO Biological Processes,19,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-2.906144069010617,14.034291010194623,6.053754577772099,30286,249,26,3,11.538461538461538,6.265626800161944,4747|5621|147381,NEFL|PRNP|CBLN2,-0.14696642178476257,0,2,0,0,-5.501521395263423,14.380816714150047,
1,-2.532173335661839,GO:0050808,M1,1,0,GO Biological Processes,19,synapse organization,19_GO:0009987 cellular process,-2.532173335661839,10.369550330974663,5.07000674526337,30286,337,26,3,11.538461538461538,6.265626800161944,4747|5621|147381,NEFL|PRNP|CBLN2,0.0,0,2,0,0,-5.501521395263423,14.380816714150047,
1,-2.1354832278420366,GO:0051960,M1,1,0,GO Biological Processes,19,regulation of nervous system development,19_GO:0032502 developmental process,-2.1354832278420366,7.466962524654832,4.13285355623679,30286,468,26,3,11.538461538461538,6.265626800161944,406|4747|147381,BMAL1|NEFL|CBLN2,0.0,0,2,0,0,-5.501521395263423,14.380816714150047,
1,-4.2460488783742845,GO:0009791,M1,1,0,GO Biological Processes,19,post-embryonic development,19_GO:0032502 developmental process,-4.2460488783742845,40.167108753315645,10.723853200767138,30286,87,26,3,11.538461538461538,6.265626800161944,4297|4692|80274,KMT2A|NDN|SCUBE1,-1.1227894897373598,0,3,1,1,-4.2460488783742845,40.167108753315645,
1,-3.124190269868968,GO:0071363,M1,1,0,GO Biological Processes,19,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-3.124190269868968,9.547919293820932,5.580110091090019,30286,488,26,4,15.384615384615385,7.07589393082923,1490|3096|4297|4692,CCN2|HIVEP1|KMT2A|NDN,-0.273932153295781,0,3,0,0,-4.2460488783742845,40.167108753315645,
1,-3.021613748494574,GO:0070848,M1,1,0,GO Biological Processes,19,response to growth factor,19_GO:0050896 response to stimulus,-3.021613748494574,8.960355029585799,5.367102282276606,30286,520,26,4,15.384615384615385,7.07589393082923,1490|3096|4297|4692,CCN2|HIVEP1|KMT2A|NDN,-0.19938435552163075,0,3,0,0,-4.2460488783742845,40.167108753315645,
1,-3.742863738631558,R-HSA-388396,M1,1,0,Reactome Gene Sets,6,GPCR downstream signalling,,-3.742863738631558,9.186483863140014,6.106340876996588,30286,634,26,5,19.23076923076923,7.729201466043273,801|1129|2850|5999|10846,CALM1|CHRM2|GPR27|RGS4|PDE10A,-0.7036581711296728,0,4,1,1,-3.742863738631558,15.531282051282052,
1,-3.5183159992897677,R-HSA-372790,M1,1,0,Reactome Gene Sets,6,Signaling by GPCR,,-3.5183159992897677,8.214711945318433,5.6981129561400135,30286,709,26,5,19.23076923076923,7.729201466043273,801|1129|2850|5999|10846,CALM1|CHRM2|GPR27|RGS4|PDE10A,-0.5995798539820016,0,4,0,0,-3.742863738631558,15.531282051282052,
1,-3.0328351436262064,hsa04024,M1,1,0,KEGG Pathway,24,cAMP signaling pathway,,-3.0328351436262064,15.531282051282052,6.412974025290879,30286,225,26,3,11.538461538461538,6.265626800161944,801|1129|10846,CALM1|CHRM2|PDE10A,-0.19938435552163075,0,4,0,0,-3.742863738631558,15.531282051282052,
1,-2.926343082727693,GO:0090257,M1,1,0,GO Biological Processes,19,regulation of muscle system process,19_GO:0032501 multicellular organismal process,-2.926343082727693,14.26342229199372,6.110087757704912,30286,245,26,3,11.538461538461538,6.265626800161944,801|1129|5999,CALM1|CHRM2|RGS4,-0.14696642178476257,0,4,0,0,-3.742863738631558,15.531282051282052,
1,-2.6033319452077928,R-HSA-418594,M1,1,0,Reactome Gene Sets,6,G alpha (i) signalling events,,-2.6033319452077928,10.98911465892598,5.249013373567185,30286,318,26,3,11.538461538461538,6.265626800161944,801|1129|5999,CALM1|CHRM2|RGS4,0.0,0,4,0,0,-3.742863738631558,15.531282051282052,
1,-3.708818247688603,hsa04728,M1,1,0,KEGG Pathway,24,Dopaminergic synapse,,-3.708818247688603,26.473776223776223,8.597532593017636,30286,132,26,3,11.538461538461538,6.265626800161944,406|801|5522,BMAL1|CALM1|PPP2R2C,-0.7036581711296728,0,5,1,1,-3.708818247688603,26.473776223776223,
1,-3.511985877304033,hsa04261,M1,1,0,KEGG Pathway,24,Adrenergic signaling in cardiomyocytes,,-3.511985877304033,22.691808191808192,7.910576553971708,30286,154,26,3,11.538461538461538,6.265626800161944,801|5522|6324,CALM1|PPP2R2C|SCN1B,-0.5995798539820016,0,5,0,0,-3.708818247688603,26.473776223776223,
1,-3.562627647311958,GO:0008277,M1,1,0,GO Biological Processes,19,regulation of G protein-coupled receptor signaling pathway,19_GO:0050896 response to stimulus,-3.562627647311958,23.611746361746363,8.083021795538722,30286,148,26,3,11.538461538461538,6.265626800161944,2850|5999|7529,GPR27|RGS4|YWHAB,-0.5995798539820016,0,6,1,1,-3.562627647311958,23.611746361746363,
1,-3.541665150739753,GO:0045936,M1,1,0,GO Biological Processes,19,negative regulation of phosphate metabolic process,19_GO:0048519 negative regulation of biological process,-3.541665150739753,12.326414326414326,6.495471168160139,30286,378,26,4,15.384615384615385,7.07589393082923,801|5621|7529|94032,CALM1|PRNP|YWHAB|CAMK2N2,-0.5995798539820016,0,7,1,1,-3.541665150739753,14.14792899408284,
1,-3.5373099164968194,GO:0010563,M1,1,0,GO Biological Processes,19,negative regulation of phosphorus metabolic process,19_GO:0048519 negative regulation of biological process,-3.5373099164968194,12.293890805764157,6.4854895700783235,30286,379,26,4,15.384615384615385,7.07589393082923,801|5621|7529|94032,CALM1|PRNP|YWHAB|CAMK2N2,-0.5995798539820016,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-3.3453430091874354,GO:0031400,M1,1,0,GO Biological Processes,19,negative regulation of protein modification process,19_GO:0048519 negative regulation of biological process,-3.3453430091874354,10.937522571325388,6.054858901593571,30286,426,26,4,15.384615384615385,7.07589393082923,801|5621|7529|94032,CALM1|PRNP|YWHAB|CAMK2N2,-0.46512166923680526,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-3.0000870074781774,GO:0010035,M1,1,0,GO Biological Processes,19,response to inorganic substance,19_GO:0050896 response to stimulus,-3.0000870074781774,8.841337031090351,5.3229484816638575,30286,527,26,4,15.384615384615385,7.07589393082923,801|4297|4747|5621,CALM1|KMT2A|NEFL|PRNP,-0.19122157606321546,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.916200520660258,GO:0051924,M1,1,0,GO Biological Processes,19,regulation of calcium ion transport,19_GO:0051179 localization,-2.916200520660258,14.14792899408284,6.081757401123183,30286,247,26,3,11.538461538461538,6.265626800161944,801|5621|5999,CALM1|PRNP|RGS4,-0.14696642178476257,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.7603307409711557,R-HSA-5673001,M1,1,0,Reactome Gene Sets,6,RAF/MAP kinase cascade,,-2.7603307409711557,12.480494505494505,5.657200347913505,30286,280,26,3,11.538461538461538,6.265626800161944,801|4747|7529,CALM1|NEFL|YWHAB,-0.012734966295116478,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.7340879738819894,R-HSA-5684996,M1,1,0,Reactome Gene Sets,6,MAPK1/MAPK3 signaling,,-2.7340879738819894,12.218665949435179,5.5876553004812415,30286,286,26,3,11.538461538461538,6.265626800161944,801|4747|7529,CALM1|NEFL|YWHAB,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.705178661503534,R-HSA-199991,M1,1,0,Reactome Gene Sets,6,Membrane Trafficking,,-2.705178661503534,7.349187090512012,4.735891661749609,30286,634,26,4,15.384615384615385,7.07589393082923,801|1129|7529|140735,CALM1|CHRM2|YWHAB|DYNLL2,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.6916215978828695,GO:0001933,M1,1,0,GO Biological Processes,19,negative regulation of protein phosphorylation,19_GO:0048519 negative regulation of biological process,-2.6916215978828695,11.805873180873181,5.476252823297202,30286,296,26,3,11.538461538461538,6.265626800161944,801|5621|94032,CALM1|PRNP|CAMK2N2,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.6110936565125415,R-HSA-5653656,M1,1,0,Reactome Gene Sets,6,Vesicle-mediated transport,,-2.6110936565125415,6.923305520630929,4.555084772318587,30286,673,26,4,15.384615384615385,7.07589393082923,801|1129|7529|140735,CALM1|CHRM2|YWHAB|DYNLL2,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.611085218220086,GO:0042326,M1,1,0,GO Biological Processes,19,negative regulation of phosphorylation,19_GO:0048519 negative regulation of biological process,-2.611085218220086,11.058666017526777,5.268737471795254,30286,316,26,3,11.538461538461538,6.265626800161944,801|5621|94032,CALM1|PRNP|CAMK2N2,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.576599580488753,R-HSA-5683057,M1,1,0,Reactome Gene Sets,6,MAPK family signaling cascades,,-2.576599580488753,10.752426035502959,5.181341227419947,30286,325,26,3,11.538461538461538,6.265626800161944,801|4747|7529,CALM1|NEFL|YWHAB,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.5728309262718323,R-HSA-195258,M1,1,0,Reactome Gene Sets,6,RHO GTPase Effectors,,-2.5728309262718323,10.719443133553563,5.171842370443451,30286,326,26,3,11.538461538461538,6.265626800161944,801|7529|140735,CALM1|YWHAB|DYNLL2,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.451573190814337,GO:0010038,M1,1,0,GO Biological Processes,19,response to metal ion,19_GO:0050896 response to stimulus,-2.451573190814337,9.707051282051282,4.871514707549028,30286,360,26,3,11.538461538461538,6.265626800161944,801|4297|5621,CALM1|KMT2A|PRNP,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.4133174658277468,GO:0031401,M1,1,0,GO Biological Processes,19,positive regulation of protein modification process,19_GO:0048518 positive regulation of biological process,-2.4133174658277468,6.098670962545308,4.184049160235545,30286,764,26,4,15.384615384615385,7.07589393082923,406|801|4692|5621,BMAL1|CALM1|NDN|PRNP,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.1586243079944873,R-HSA-5663202,M1,1,0,Reactome Gene Sets,6,Diseases of signal transduction by growth factor receptors and second messengers,,-2.1586243079944873,7.613373554550025,4.184953253248774,30286,459,26,3,11.538461538461538,6.265626800161944,801|7529|55534,CALM1|YWHAB|MAML3,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.1304071055902103,GO:0045859,M1,1,0,GO Biological Processes,19,regulation of protein kinase activity,19_GO:0008152 metabolic process,-2.1304071055902103,7.43518821603928,4.1214638400570225,30286,470,26,3,11.538461538461538,6.265626800161944,801|5621|94032,CALM1|PRNP|CAMK2N2,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-2.115320005628282,hsa05022,M1,1,0,KEGG Pathway,24,Pathways of neurodegeneration - multiple diseases,,-2.115320005628282,7.341467356173238,4.08769280564698,30286,476,26,3,11.538461538461538,6.265626800161944,801|4747|5621,CALM1|NEFL|PRNP,0.0,0,7,0,0,-3.541665150739753,14.14792899408284,
1,-3.487426656820442,hsa04390,M1,1,0,KEGG Pathway,24,Hippo signaling pathway,,-3.487426656820442,22.258206761391474,7.827986993843246,30286,157,26,3,11.538461538461538,6.265626800161944,1490|5522|7529,CCN2|PPP2R2C|YWHAB,-0.5914110496865801,0,8,1,1,-3.487426656820442,22.258206761391474,
1,-2.454961174074681,hsa04151,M1,1,0,KEGG Pathway,24,PI3K-Akt signaling pathway,,-2.454961174074681,9.734090422112706,4.879769602830467,30286,359,26,3,11.538461538461538,6.265626800161944,1129|5522|7529,CHRM2|PPP2R2C|YWHAB,0.0,0,8,0,0,-3.487426656820442,22.258206761391474,
1,-2.716915099700668,R-HSA-71387,M1,1,0,Reactome Gene Sets,6,Metabolism of carbohydrates,,-2.716915099700668,12.050132625994694,5.542437675284752,30286,290,26,3,11.538461538461538,6.265626800161944,801|9883|9951,CALM1|POM121|HS3ST4,0.0,0,9,1,1,-2.716915099700668,12.050132625994694,
1,-2.4314555653136476,GO:0007409,M1,1,0,GO Biological Processes,19,axonogenesis,19_GO:0032502 developmental process,-2.4314555653136476,9.547919293820932,4.822654639753594,30286,366,26,3,11.538461538461538,6.265626800161944,4692|4747|6324,NDN|NEFL|SCN1B,0.0,0,10,1,1,-2.4314555653136476,9.547919293820932,
1,-2.2621251920855294,GO:0061564,M1,1,0,GO Biological Processes,19,axon development,19_GO:0032502 developmental process,-2.2621251920855294,8.300566416955965,4.421629466862209,30286,421,26,3,11.538461538461538,6.265626800161944,4692|4747|6324,NDN|NEFL|SCN1B,0.0,0,10,0,0,-2.4314555653136476,9.547919293820932,
1,-2.2091540167822608,GO:0048667,M1,1,0,GO Biological Processes,19,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-2.2091540167822608,7.942132867132867,4.299739984362265,30286,440,26,3,11.538461538461538,6.265626800161944,4692|4747|6324,NDN|NEFL|SCN1B,0.0,0,10,0,0,-2.4314555653136476,9.547919293820932,
1,-2.09552616148621,GO:0048812,M1,1,0,GO Biological Processes,19,neuron projection morphogenesis,19_GO:0032502 developmental process,-2.09552616148621,7.220120788302606,4.043568410888293,30286,484,26,3,11.538461538461538,6.265626800161944,4692|4747|6324,NDN|NEFL|SCN1B,0.0,0,10,0,0,-2.4314555653136476,9.547919293820932,
1,-2.0833371619116825,GO:0120039,M1,1,0,GO Biological Processes,19,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-2.0833371619116825,7.146295422369041,4.016498333090113,30286,489,26,3,11.538461538461538,6.265626800161944,4692|4747|6324,NDN|NEFL|SCN1B,0.0,0,10,0,0,-2.4314555653136476,9.547919293820932,
1,-2.071284847365756,GO:0048858,M1,1,0,GO Biological Processes,19,cell projection morphogenesis,19_GO:0032502 developmental process,-2.071284847365756,7.07396449704142,3.989807065169619,30286,494,26,3,11.538461538461538,6.265626800161944,4692|4747|6324,NDN|NEFL|SCN1B,0.0,0,10,0,0,-2.4314555653136476,9.547919293820932,
1,-2.2793956003730234,GO:0007268,M1,1,0,GO Biological Processes,19,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-2.2793956003730234,8.420574606116775,4.461724029294176,30286,415,26,3,11.538461538461538,6.265626800161944,1129|6327|147381,CHRM2|SCN2B|CBLN2,0.0,0,11,1,1,-2.2793956003730234,8.420574606116775,
1,-2.2793956003730234,GO:0098916,M1,1,0,GO Biological Processes,19,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-2.2793956003730234,8.420574606116775,4.461724029294176,30286,415,26,3,11.538461538461538,6.265626800161944,1129|6327|147381,CHRM2|SCN2B|CBLN2,0.0,0,11,0,0,-2.2793956003730234,8.420574606116775,
1,-2.231147713857956,GO:0099537,M1,1,0,GO Biological Processes,19,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-2.231147713857956,8.089209401709402,4.350151830141416,30286,432,26,3,11.538461538461538,6.265626800161944,1129|6327|147381,CHRM2|SCN2B|CBLN2,0.0,0,11,0,0,-2.2793956003730234,8.420574606116775,
1,-2.1534390796855836,GO:0099536,M1,1,0,GO Biological Processes,19,synaptic signaling,19_GO:0050789 regulation of biological process,-2.1534390796855836,7.58034373435675,4.173253996079687,30286,461,26,3,11.538461538461538,6.265626800161944,1129|6327|147381,CHRM2|SCN2B|CBLN2,0.0,0,11,0,0,-2.2793956003730234,8.420574606116775,
1,-2.2479365382266283,GO:0009611,M1,1,0,GO Biological Processes,19,response to wounding,19_GO:0050896 response to stimulus,-2.2479365382266283,8.203141928494041,4.38882102779135,30286,426,26,3,11.538461538461538,6.265626800161944,1490|4747|80274,CCN2|NEFL|SCUBE1,0.0,0,12,1,1,-2.2479365382266283,8.203141928494041,
