_MEMBER_Npas2,_LogP_Npas2,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.6,GO:1905477,positive regulation of protein localization to membrane,M1,1,0
1,-2.2,GO:0140352,export from cell,M1,1,0
1,-3.4,GO:0006518,peptide metabolic process,M1,1,0
1,-3.9,GO:0043266,regulation of potassium ion transport,M1,1,0
1,-2.1,GO:0006665,sphingolipid metabolic process,M1,1,0
1,-2,GO:0051048,negative regulation of secretion,M1,1,0
1,-4.2,GO:0050796,regulation of insulin secretion,M1,1,0
1,-2,GO:0071478,cellular response to radiation,M1,1,0
1,-2.2,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-5.2,GO:0001508,action potential,M1,1,0
1,-4.2,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-4.6,GO:0030001,metal ion transport,M1,1,0
1,-2.6,GO:0071695,anatomical structure maturation,M1,1,0
1,-3.1,GO:0051223,regulation of protein transport,M1,1,0
1,-2.1,GO:0071214,cellular response to abiotic stimulus,M1,1,0
1,-3.1,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-4.9,R-HSA-72613,Eukaryotic Translation Initiation,M1,1,0
1,-3.8,GO:1903307,positive regulation of regulated secretory pathway,M1,1,0
1,-3.4,GO:0043467,regulation of generation of precursor metabolites and energy,M1,1,0
1,-2.2,R-HSA-9694516,SARS-CoV-2 Infection,M1,1,0
1,-3.3,GO:0032409,regulation of transporter activity,M1,1,0
1,-5.1,GO:0051260,protein homooligomerization,M1,1,0
