Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
3787,KCNS1,potassium voltage-gated channel modifier subfamily S member 1,GO:1902259 regulation of delayed rectifier potassium channel activity;GO:1901016 regulation of potassium ion transmembrane transporter activity;GO:1901379 regulation of potassium ion transmembrane transport,,Transporters:Transporter channels and pores; Voltage-gated ion channels:Voltage-Gated Potassium Channels,,,
140775,SMCR8,SMCR8-C9orf72 complex subunit,GO:1901098 positive regulation of autophagosome maturation;GO:1902902 negative regulation of autophagosome assembly;GO:1901096 regulation of autophagosome maturation,,Predicted intracellular proteins,Nucleoplasm (Enhanced),,
23231,SEL1L3,SEL1L family member 3,,,Predicted intracellular proteins,Mitochondria (Uncertain),,
4297,KMT2A,lysine methyltransferase 2A,GO:0090310 negative regulation of DNA methylation-dependent heterochromatin formation;GO:0031452 negative regulation of heterochromatin formation;GO:0120262 negative regulation of heterochromatin organization,,Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Mutated cancer genes; Transcription factors:Zinc-coordinating DNA-binding domains; Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes,Nucleoplasm (Supported); Additional: Cytosol,,
10252,SPRY1,sprouty RTK signaling antagonist 1,GO:0060940 epithelial to mesenchymal transition involved in cardiac fibroblast development;GO:0051387 negative regulation of neurotrophin TRK receptor signaling pathway;GO:0060938 epicardium-derived cardiac fibroblast cell differentiation,,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins,Cytosol;Golgi apparatus (Approved); Additional: Nucleoplasm,,
9672,SDC3,syndecan 3,GO:0016477 cell migration;GO:0048870 cell motility;GO:0009987 cellular process,,Human disease related genes:Endocrine and metabolic diseases:Other endocrine and metabolic diseases,Mitochondria (Approved); Additional: Nucleoplasm,(M251)PID SYNDECAN 3 PATHWAY; (M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED,(M5891)HALLMARK HYPOXIA; (M5915)HALLMARK APICAL JUNCTION; (M5937)HALLMARK GLYCOLYSIS
10140,TOB1,"transducer of ERBB2, 1","GO:0060212 negative regulation of nuclear-transcribed mRNA poly(A) tail shortening;GO:1900152 negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;GO:0060213 positive regulation of nuclear-transcribed mRNA poly(A) tail shortening",,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Vesicles,,(M5905)HALLMARK ADIPOGENESIS; (M5906)HALLMARK ESTROGEN RESPONSE EARLY; (M5907)HALLMARK ESTROGEN RESPONSE LATE
124222,PAQR4,progestin and adipoQ receptor family member 4,,,,Vesicles (Approved),,
56848,SPHK2,sphingosine kinase 2,GO:0006669 sphinganine-1-phosphate biosynthetic process;GO:0033008 positive regulation of mast cell activation involved in immune response;GO:0006668 sphinganine-1-phosphate metabolic process,yes,Enzymes; Disease related genes; ENZYME proteins:Transferases; Predicted intracellular proteins; Potential drug targets,Nucleoplasm (Supported),(M155)PID S1P META PATHWAY; (M144)PID CERAMIDE PATHWAY; (M54)PID IL12 2PATHWAY,(M5956)HALLMARK KRAS SIGNALING DN
9679,FAM53B,family with sequence similarity 53 member B,GO:0090263 positive regulation of canonical Wnt signaling pathway;GO:0006606 protein import into nucleus;GO:0051170 import into nucleus,,Predicted intracellular proteins,Cytosol (Approved),,
6160,RPL31,ribosomal protein L31,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,,Ribosomal proteins; Predicted intracellular proteins,,,
11334,TUSC2,"tumor suppressor 2, mitochondrial calcium regulator",GO:0070945 neutrophil-mediated killing of gram-negative bacterium;GO:0070942 neutrophil mediated cytotoxicity;GO:0070943 neutrophil-mediated killing of symbiont cell,,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins,Cytosol (Approved); Additional: Vesicles,,
80757,TMEM121,transmembrane protein 121,GO:0008150 biological_process,,,Cytosol (Approved),,
23216,TBC1D1,TBC1 domain family member 1,GO:0090630 activation of GTPase activity;GO:0043547 positive regulation of GTPase activity;GO:0043087 regulation of GTPase activity,,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,Nucleoli (Supported),,
64881,PCDH20,protocadherin 20,GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules;GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules;GO:0098609 cell-cell adhesion,,,Vesicles (Approved); Additional: Cytokinetic bridge,,
1850,DUSP8,dual specificity phosphatase 8,GO:0035335 peptidyl-tyrosine dephosphorylation;GO:0006470 protein dephosphorylation;GO:0043409 negative regulation of MAPK cascade,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Cytosol (Approved),(M76)PID P38 ALPHA BETA PATHWAY; (M166)PID ATF2 PATHWAY,
84206,MEX3B,mex-3 RNA binding family member B,GO:0046777 protein autophosphorylation;GO:0006468 protein phosphorylation;GO:0016310 phosphorylation,,Predicted intracellular proteins,Cytosol;Nucleoplasm (Approved),,
134548,SOWAHA,sosondowah ankyrin repeat domain family member A,,,Predicted intracellular proteins,,,
57692,MAGEE1,MAGE family member E1,GO:0000122 negative regulation of transcription by RNA polymerase II;GO:0045892 negative regulation of DNA-templated transcription;GO:1902679 negative regulation of RNA biosynthetic process,,Predicted intracellular proteins,Cytosol (Approved); Additional: Cytokinetic bridge,,(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
406,BMAL1,basic helix-loop-helix ARNT like 1,GO:0090403 oxidative stress-induced premature senescence;GO:2000323 negative regulation of glucocorticoid receptor signaling pathway;GO:2000322 regulation of glucocorticoid receptor signaling pathway,,Transcription factors:Basic domains; Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Vesicles,(M95)PID CIRCADIAN PATHWAY,
80274,SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1",GO:0007512 adult heart development;GO:0045880 positive regulation of smoothened signaling pathway;GO:0045446 endothelial cell differentiation,,Predicted secreted proteins; Predicted intracellular proteins,,(M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,(M5916)HALLMARK APICAL SURFACE
1137,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit,"GO:0035095 behavioral response to nicotine;GO:0060080 inhibitory postsynaptic potential;GO:0007271 synaptic transmission, cholinergic",,Transporters:Transporter channels and pores; Human disease related genes:Nervous system diseases:Epilepsy; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Disease related genes,,,
3800,KIF5C,kinesin family member 5C,GO:0098964 anterograde dendritic transport of messenger ribonucleoprotein complex;GO:0098961 dendritic transport of ribonucleoprotein complex;GO:0098963 dendritic transport of messenger ribonucleoprotein complex,,Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Disease related genes,Vesicles (Approved),,(M5953)HALLMARK KRAS SIGNALING UP
2850,GPR27,G protein-coupled receptor 27,GO:1900738 positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway;GO:1900736 regulation of phospholipase C-activating G protein-coupled receptor signaling pathway;GO:0045745 positive regulation of G protein-coupled receptor signaling pathway,,G-protein coupled receptors:GPCRs excl olfactory receptors,Nucleoplasm (Approved); Additional: Actin filaments;Cytosol;Plasma membrane,,
9592,IER2,immediate early response 2,GO:0071774 response to fibroblast growth factor;GO:0070848 response to growth factor;GO:0048870 cell motility,,Predicted intracellular proteins,Nucleoplasm (Enhanced),,(M5890)HALLMARK TNFA SIGNALING VIA NFKB
8507,ENC1,ectodermal-neural cortex 1,GO:0010499 proteasomal ubiquitin-independent protein catabolic process;GO:0010976 positive regulation of neuron projection development;GO:0017148 negative regulation of translation,,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins,Plasma membrane (Uncertain),,
5621,PRNP,prion protein (Kanno blood group),GO:1902938 regulation of intracellular calcium activated chloride channel activity;GO:1902951 negative regulation of dendritic spine maintenance;GO:1900449 regulation of glutamate receptor signaling pathway,,Disease related genes; Transporters:Transporter channels and pores; CD markers; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Potential drug targets,Cytosol;Nuclear membrane (Approved); Additional: Vesicles,(M33)PID GLYPICAN 1PATHWAY,(M5938)HALLMARK REACTIVE OXYGEN SPECIES PATHWAY; (M5947)HALLMARK IL2 STAT5 SIGNALING; (M5909)HALLMARK MYOGENESIS
3745,KCNB1,potassium voltage-gated channel subfamily B member 1,GO:0010701 positive regulation of norepinephrine secretion;GO:0045163 clustering of voltage-gated potassium channels;GO:1900454 positive regulation of long-term synaptic depression,,Transporters:Transporter channels and pores; Human disease related genes:Nervous system diseases:Epilepsy; Voltage-gated ion channels:Voltage-Gated Potassium Channels; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Disease related genes,,,
9575,CLOCK,clock circadian regulator,GO:2000323 negative regulation of glucocorticoid receptor signaling pathway;GO:2000322 regulation of glucocorticoid receptor signaling pathway;GO:2000074 regulation of type B pancreatic cell development,,Enzymes; Transcription factors:Basic domains; ENZYME proteins:Transferases; Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Vesicles,(M95)PID CIRCADIAN PATHWAY,
10846,PDE10A,phosphodiesterase 10A,GO:0046069 cGMP catabolic process;GO:0010754 negative regulation of cGMP-mediated signaling;GO:0006198 cAMP catabolic process,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Enzymes; Predicted intracellular proteins; ENZYME proteins:Hydrolases; FDA approved drug targets:Small molecule drugs; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,,,
