Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
90293,KLHL13,kelch like family member 13,GO:0032465 regulation of cytokinesis;GO:0051302 regulation of cell division;GO:0051301 cell division,,Predicted intracellular proteins,Cytosol (Approved),(M14)PID AURORA B PATHWAY,
3190,HNRNPK,heterogeneous nuclear ribonucleoprotein K,GO:1905599 positive regulation of low-density lipoprotein receptor activity;GO:1902165 regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;GO:0010988 regulation of low-density lipoprotein particle clearance,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Nucleoplasm (Enhanced),,
1833,EPYC,epiphycan,GO:0061975 articular cartilage development;GO:0007605 sensory perception of sound;GO:0007565 female pregnancy,,Predicted secreted proteins,,(M5882)NABA PROTEOGLYCANS; (M5884)NABA CORE MATRISOME; (M5889)NABA MATRISOME,
3357,HTR2B,5-hydroxytryptamine receptor 2B,GO:0007208 phospholipase C-activating serotonin receptor signaling pathway;GO:0010513 positive regulation of phosphatidylinositol biosynthetic process;GO:0010511 regulation of phosphatidylinositol biosynthetic process,,G-protein coupled receptors:Serotonin receptors; Transporters; FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,Nucleoplasm (Supported),,
9480,ONECUT2,one cut homeobox 2,GO:1905319 mesenchymal stem cell migration;GO:1905320 regulation of mesenchymal stem cell migration;GO:1905322 positive regulation of mesenchymal stem cell migration,,Predicted intracellular proteins; Transcription factors:Helix-turn-helix domains,Nucleoplasm (Supported); Additional: Actin filaments,,
3624,INHBA,inhibin subunit beta A,GO:0042701 progesterone secretion;GO:0060279 positive regulation of ovulation;GO:0046882 negative regulation of follicle-stimulating hormone secretion,,Cancer-related genes:Candidate cancer biomarkers; Predicted secreted proteins; Candidate cardiovascular disease genes,,(M185)PID ALK1 PATHWAY; (M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED,(M5890)HALLMARK TNFA SIGNALING VIA NFKB; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION; (M5932)HALLMARK INFLAMMATORY RESPONSE
60592,SCOC,short coiled-coil protein,GO:0061635 regulation of protein complex stability;GO:0016239 positive regulation of macroautophagy;GO:0010508 positive regulation of autophagy,,Predicted intracellular proteins,Golgi apparatus;Nucleoplasm (Approved),,
7534,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,GO:0090168 Golgi reassembly;GO:0051683 establishment of Golgi localization;GO:0048308 organelle inheritance,,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,,(M199)PID P38 MK2 PATHWAY; (M182)PID IL3 PATHWAY; (M247)PID INSULIN GLUCOSE PATHWAY,(M5922)HALLMARK UNFOLDED PROTEIN RESPONSE
7529,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,GO:0051220 cytoplasmic sequestering of protein;GO:0035308 negative regulation of protein dephosphorylation;GO:0035305 negative regulation of dephosphorylation,,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins,Cytosol (Supported),(M199)PID P38 MK2 PATHWAY; (M247)PID INSULIN GLUCOSE PATHWAY; (M30)PID HDAC CLASSII PATHWAY,(M5923)HALLMARK PI3K AKT MTOR SIGNALING
196294,IMMP1L,inner mitochondrial membrane peptidase subunit 1,GO:0006627 protein processing involved in protein targeting to mitochondrion;GO:0034982 mitochondrial protein processing;GO:0006465 signal peptide processing,,Enzymes; Predicted intracellular proteins; Peptidases:Serine-type peptidases,Mitochondria (Enhanced),,
84707,BEX2,brain expressed X-linked 2,GO:0031397 negative regulation of protein ubiquitination;GO:1903321 negative regulation of protein modification by small protein conjugation or removal;GO:1901874 negative regulation of post-translational protein modification,,Predicted intracellular proteins,Cytosol (Uncertain),,
6019,RLN2,relaxin 2,GO:0007565 female pregnancy;GO:0045766 positive regulation of angiogenesis;GO:0044703 multi-organism reproductive process,,Predicted secreted proteins; Predicted intracellular proteins,,,
5000,ORC4,origin recognition complex subunit 4,GO:0040038 polar body extrusion after meiotic divisions;GO:0033206 meiotic cytokinesis;GO:0006270 DNA replication initiation,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Nucleoli;Nucleoplasm (Supported),,
28990,ASTE1,asteroid homolog 1,,,Predicted intracellular proteins,Endoplasmic reticulum (Approved),,
1350,COX7C,cytochrome c oxidase subunit 7C,"GO:0006123 mitochondrial electron transport, cytochrome c to oxygen;GO:0019646 aerobic electron transport chain;GO:0042773 ATP synthesis coupled electron transport",,Transporters:Primary Active Transporters,,,(M5936)HALLMARK OXIDATIVE PHOSPHORYLATION
124512,METTL23,"methyltransferase 23, arginine",GO:0044727 epigenetic programing of male pronucleus;GO:0044725 epigenetic programming in the zygotic pronuclei;GO:0043045 post-fertilization epigenetic regulation of gene expression,,Enzymes; Disease related genes; ENZYME proteins:Transferases; Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Potential drug targets,Vesicles (Approved),,
25907,TMEM158,transmembrane protein 158,,,,,,(M5953)HALLMARK KRAS SIGNALING UP
1687,GSDME,gasdermin E,GO:0002836 positive regulation of response to tumor cell;GO:0002839 positive regulation of immune response to tumor cell;GO:0002837 regulation of immune response to tumor cell,,Disease related genes; Transporters:Transporter channels and pores; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Ear disease; Potential drug targets,Cytosol (Supported),,(M5898)HALLMARK DNA REPAIR
151647,TAFA4,TAFA chemokine like family member 4,GO:0048246 macrophage chemotaxis;GO:0051930 regulation of sensory perception of pain;GO:0051931 regulation of sensory perception,,Predicted secreted proteins; Predicted intracellular proteins,,,
27306,HPGDS,hematopoietic prostaglandin D synthase,GO:1905937 negative regulation of germ cell proliferation;GO:2000255 negative regulation of male germ cell proliferation;GO:2000254 regulation of male germ cell proliferation,,ENZYME proteins:Isomerase; Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Cytosol;Vesicles (Approved); Additional: Nucleoplasm,,
493860,CCDC73,coiled-coil domain containing 73,,,Predicted intracellular proteins,,,
87769,GGACT,gamma-glutamylamine cyclotransferase,GO:0042219 cellular modified amino acid catabolic process;GO:0006575 cellular modified amino acid metabolic process;GO:1901565 organonitrogen compound catabolic process,,ENZYME proteins:Lyases; Enzymes; Predicted intracellular proteins,,,
830,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,GO:0051016 barbed-end actin filament capping;GO:0051693 actin filament capping;GO:0030835 negative regulation of actin filament depolymerization,,Predicted intracellular proteins,Cytosol (Approved),,
1794,DOCK2,dedicator of cytokinesis 2,GO:0001766 membrane raft polarization;GO:0002277 myeloid dendritic cell activation involved in immune response;GO:0031580 membrane raft distribution,,Human disease related genes:Immune system diseases:Primary immunodeficiency; Cancer-related genes:Mutational cancer driver genes; Predicted intracellular proteins; Disease related genes,,(M210)PID IL8 CXCR2 PATHWAY; (M241)PID RAC1 REG PATHWAY,(M5893)HALLMARK MITOTIC SPINDLE; (M5953)HALLMARK KRAS SIGNALING UP
400916,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,GO:0090143 nucleoid organization;GO:0090144 mitochondrial nucleoid organization;GO:0031930 mitochondria-nucleus signaling pathway,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,Mitochondria (Supported),,(M5905)HALLMARK ADIPOGENESIS
494143,CHAC2,ChaC glutathione specific gamma-glutamylcyclotransferase 2,GO:0006751 glutathione catabolic process;GO:0006750 glutathione biosynthetic process;GO:0019184 nonribosomal peptide biosynthetic process,,ENZYME proteins:Lyases; Enzymes; Predicted intracellular proteins,Cytosol (Approved),,
9934,P2RY14,purinergic receptor P2Y14,GO:0035589 G protein-coupled purinergic nucleotide receptor signaling pathway;GO:0035590 purinergic nucleotide receptor signaling pathway;GO:0007186 G protein-coupled receptor signaling pathway,,G-protein coupled receptors:GPCRs excl olfactory receptors; G-protein coupled receptors:Adenosine and adenine nucleotide receptors,,,(M5913)HALLMARK INTERFERON GAMMA RESPONSE
3006,H1-2,"H1.2 linker histone, cluster member",GO:0030261 chromosome condensation;GO:0045910 negative regulation of DNA recombination;GO:0006334 nucleosome assembly,,Predicted intracellular proteins,Nucleoli rim;Nucleoplasm (Supported),,(M5939)HALLMARK P53 PATHWAY
10209,EIF1,eukaryotic translation initiation factor 1,"GO:1905744 regulation of mRNA cis splicing, via spliceosome;GO:1905746 positive regulation of mRNA cis splicing, via spliceosome;GO:0048026 positive regulation of mRNA splicing, via spliceosome",,Predicted intracellular proteins,,,(M5890)HALLMARK TNFA SIGNALING VIA NFKB
79161,TMEM243,transmembrane protein 243,,,Predicted intracellular proteins,,,
23767,FLRT3,fibronectin leucine rich transmembrane protein 3,GO:0003345 proepicardium cell migration involved in pericardium morphogenesis;GO:0003344 pericardium morphogenesis;GO:0060973 cell migration involved in heart development,,Transporters:Accessory Factors Involved in Transport; Human disease related genes:Endocrine and metabolic diseases:Hypothalamus and pituitary gland diseases; Potential drug targets; Disease related genes,Plasma membrane (Supported); Additional: Cell Junctions;Cytosol,,
23452,ANGPTL2,angiopoietin like 2,GO:0007267 cell-cell signaling;GO:0023052 signaling;GO:0007154 cell communication,,Predicted secreted proteins; Predicted intracellular proteins,Golgi apparatus (Approved),(M16801)SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GTPASES; (M5193)SIG CHEMOTAXIS; (M5883)NABA SECRETED FACTORS,
9358,ITGBL1,integrin subunit beta like 1,GO:0033627 cell adhesion mediated by integrin;GO:0007229 integrin-mediated signaling pathway;GO:0007160 cell-matrix adhesion,,Predicted secreted proteins; Predicted intracellular proteins; Transporters,,,(M5953)HALLMARK KRAS SIGNALING UP
9447,AIM2,absent in melanoma 2,GO:0140970 AIM2 inflammasome complex assembly;GO:1904270 pyroptosome complex assembly;GO:0035458 cellular response to interferon-beta,,Predicted intracellular proteins,Mitochondria (Supported); Additional: Cytosol;Nucleoplasm,,
4900,NRGN,neurogranin,GO:0007399 nervous system development;GO:0048731 system development;GO:0007275 multicellular organism development,,Predicted intracellular proteins,,,
23204,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1,GO:0002038 positive regulation of L-glutamate import across plasma membrane;GO:1990809 endoplasmic reticulum tubular network membrane organization;GO:0071787 endoplasmic reticulum tubular network formation,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Predicted intracellular proteins; Disease related genes,Endoplasmic reticulum (Supported),,(M5898)HALLMARK DNA REPAIR
23741,EID1,EP300 interacting inhibitor of differentiation 1,GO:0000122 negative regulation of transcription by RNA polymerase II;GO:0007049 cell cycle;GO:0045892 negative regulation of DNA-templated transcription,,Predicted intracellular proteins,Nucleoplasm (Supported),,
122961,ISCA2,iron-sulfur cluster assembly 2,GO:0106035 protein maturation by [4Fe-4S] cluster transfer;GO:0097428 protein maturation by iron-sulfur cluster transfer;GO:0016226 iron-sulfur cluster assembly,,Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Predicted intracellular proteins; Disease related genes,,,
54457,TAF7L,TATA-box binding protein associated factor 7 like,GO:0051123 RNA polymerase II preinitiation complex assembly;GO:0070897 transcription preinitiation complex assembly;GO:0006367 transcription initiation at RNA polymerase II promoter,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,,
257415,FAM133B,family with sequence similarity 133 member B,,,Predicted intracellular proteins,Nucleoli (Enhanced); Additional: Nucleoplasm,,
2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,GO:0035606 peptidyl-cysteine S-trans-nitrosylation;GO:0017014 protein nitrosylation;GO:0018119 peptidyl-cysteine S-nitrosylation,,Enzymes; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; ENZYME proteins:Oxidoreductases,Cytosol;Plasma membrane (Enhanced); Additional: Nuclear membrane;Vesicles,(M66)PID MYC ACTIV PATHWAY; (M5493)WNT SIGNALING,(M5891)HALLMARK HYPOXIA; (M5924)HALLMARK MTORC1 SIGNALING
3326,HSP90AB1,heat shock protein 90 alpha family class B member 1,GO:1901389 negative regulation of transforming growth factor beta activation;GO:1902949 positive regulation of tau-protein kinase activity;GO:1905323 telomerase holoenzyme complex assembly,,Transporters:Accessory Factors Involved in Transport; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes,Cytosol (Supported),(M237)PID VEGFR1 2 PATHWAY,(M5926)HALLMARK MYC TARGETS V1
1879,EBF1,EBF transcription factor 1,GO:0006357 regulation of transcription by RNA polymerase II;GO:0006355 regulation of DNA-templated transcription;GO:2001141 regulation of RNA biosynthetic process,,Transcription factors:Immunoglobulin fold; Predicted intracellular proteins; Cancer-related genes,Nucleoplasm (Approved); Additional: Vesicles,,
4282,MIF,macrophage migration inhibitory factor,GO:0061078 positive regulation of prostaglandin secretion involved in immune response;GO:0002905 regulation of mature B cell apoptotic process;GO:0002906 negative regulation of mature B cell apoptotic process,,Predicted secreted proteins; Enzymes; Human disease related genes:Immune system diseases:Allergies and autoimmune diseases; Potential drug targets; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; ENZYME proteins:Isomerase; Disease related genes,Cytosol (Enhanced); Additional: Nucleoplasm,,(M5935)HALLMARK FATTY ACID METABOLISM; (M5891)HALLMARK HYPOXIA; (M5937)HALLMARK GLYCOLYSIS
59286,UBL5,ubiquitin like 5,GO:1903749 positive regulation of establishment of protein localization to mitochondrion;GO:1903955 positive regulation of protein targeting to mitochondrion;GO:1903214 regulation of protein targeting to mitochondrion,,Predicted intracellular proteins,,,
212,ALAS2,5'-aminolevulinate synthase 2,GO:0042541 hemoglobin biosynthetic process;GO:0032364 intracellular oxygen homeostasis;GO:0006782 protoporphyrinogen IX biosynthetic process,,Enzymes; Potential drug targets; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of cofactor/vitamin metabolism; Human disease related genes:Cardiovascular diseases:Hematologic diseases; ENZYME proteins:Transferases; Predicted intracellular proteins; Disease related genes,,,(M5945)HALLMARK HEME METABOLISM
57408,LRTM1,leucine rich repeats and transmembrane domains 1,GO:0050919 negative chemotaxis;GO:0007411 axon guidance;GO:0097485 neuron projection guidance,,,,,
226,ALDOA,"aldolase, fructose-bisphosphate A","GO:0030388 fructose 1,6-bisphosphate metabolic process;GO:0006000 fructose metabolic process;GO:0046716 muscle cell cellular homeostasis",,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of carbohydrate metabolism; Potential drug targets; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; ENZYME proteins:Lyases; Disease related genes,Cytosol (Approved),(M255)PID HIF1 TFPATHWAY,(M5935)HALLMARK FATTY ACID METABOLISM; (M5941)HALLMARK UV RESPONSE UP; (M5891)HALLMARK HYPOXIA
26539,OR10H1,olfactory receptor family 10 subfamily H member 1,GO:0050911 detection of chemical stimulus involved in sensory perception of smell;GO:0007608 sensory perception of smell;GO:0050907 detection of chemical stimulus involved in sensory perception,,G-protein coupled receptors:Odorant/olfactory and gustatory receptors,,,
26071,RTL8A,retrotransposon Gag like 8A,,,Predicted intracellular proteins,,,
373509,USP50,ubiquitin specific peptidase 50,GO:0035063 nuclear speck organization;GO:0032741 positive regulation of interleukin-18 production;GO:0032661 regulation of interleukin-18 production,,Enzymes; Predicted intracellular proteins; Peptidases:Cysteine-type peptidases,,,
3151,HMGN2,high mobility group nucleosomal binding domain 2,GO:0061844 antimicrobial humoral immune response mediated by antimicrobial peptide;GO:0031640 killing of cells of another organism;GO:0141061 disruption of cell in another organism,,Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Nucleoli,,(M5901)HALLMARK G2M CHECKPOINT
10026,PIGK,phosphatidylinositol glycan anchor biosynthesis class K,GO:0016255 attachment of GPI anchor to protein;GO:0006506 GPI anchor biosynthetic process;GO:0006505 GPI anchor metabolic process,,Enzymes; Disease related genes; Peptidases:Cysteine-type peptidases; Predicted intracellular proteins; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of lipid/glycolipid metabolism; Potential drug targets,,,
122042,RXFP2,relaxin family peptide receptor 2,GO:0043950 positive regulation of cAMP-mediated signaling;GO:0007190 activation of adenylate cyclase activity;GO:0001556 oocyte maturation,,Potential drug targets; G-protein coupled receptors:GPCRs excl olfactory receptors; Disease related genes,,,
4697,NDUFA4,NDUFA4 mitochondrial complex associated,GO:1904734 positive regulation of electron transfer activity;GO:1904960 positive regulation of cytochrome-c oxidase activity;GO:1904959 regulation of cytochrome-c oxidase activity,,Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Disease related genes,Mitochondria (Supported),,(M5936)HALLMARK OXIDATIVE PHOSPHORYLATION
7167,TPI1,triosephosphate isomerase 1,GO:0019242 methylglyoxal biosynthetic process;GO:0046166 glyceraldehyde-3-phosphate biosynthetic process;GO:0009438 methylglyoxal metabolic process,,Enzymes; Potential drug targets; Human disease related genes:Cardiovascular diseases:Hematologic diseases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; ENZYME proteins:Isomerase; ENZYME proteins:Lyases; Disease related genes,Nucleoplasm (Approved),,(M5891)HALLMARK HYPOXIA; (M5924)HALLMARK MTORC1 SIGNALING; (M5937)HALLMARK GLYCOLYSIS
4747,NEFL,neurofilament light chain,GO:0045105 intermediate filament polymerization or depolymerization;GO:1903937 response to acrylamide;GO:0033693 neurofilament bundle assembly,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,Intermediate filaments;Nucleoplasm (Approved); Additional: Midbody,,
169966,TENT5D,terminal nucleotidyltransferase 5D,GO:0048255 mRNA stabilization;GO:0043489 RNA stabilization;GO:1902373 negative regulation of mRNA catabolic process,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,,,
408263,FNDC9,fibronectin type III domain containing 9,,,,,,
1006,CDH8,cadherin 8,GO:0044331 cell-cell adhesion mediated by cadherin;GO:0009409 response to cold;GO:0016339 calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,,Predicted intracellular proteins,Plasma membrane (Approved),,(M5915)HALLMARK APICAL JUNCTION
64805,P2RY12,purinergic receptor P2Y12,GO:0033626 positive regulation of integrin activation by cell surface receptor linked signal transduction;GO:0035585 calcium-mediated signaling using extracellular calcium source;GO:1904141 positive regulation of microglial cell migration,,Human disease related genes:Cardiovascular diseases:Hematologic diseases; G-protein coupled receptors:GPCRs excl olfactory receptors; FDA approved drug targets:Small molecule drugs; Transporters; Disease related genes; G-protein coupled receptors:Adenosine and adenine nucleotide receptors,,,
52,ACP1,acid phosphatase 1,,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,(M273)PID EPHA2 FWD PATHWAY,(M5926)HALLMARK MYC TARGETS V1; (M5934)HALLMARK XENOBIOTIC METABOLISM
805,CALM2,calmodulin 2,GO:0051343 positive regulation of cyclic-nucleotide phosphodiesterase activity;GO:1905913 negative regulation of calcium ion export across plasma membrane;GO:1905912 regulation of calcium ion export across plasma membrane,,Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes; RAS pathway related proteins,,,
7314,UBB,ubiquitin B,GO:1902527 positive regulation of protein monoubiquitination;GO:1902525 regulation of protein monoubiquitination;GO:1902255 positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,,Predicted intracellular proteins,,,
401494,HACD4,3-hydroxyacyl-CoA dehydratase 4,GO:0042761 very long-chain fatty acid biosynthetic process;GO:0030497 fatty acid elongation;GO:0000038 very long-chain fatty acid metabolic process,,ENZYME proteins:Lyases; Enzymes,,,
27429,HTRA2,HtrA serine peptidase 2,GO:0019742 pentacyclic triterpenoid metabolic process;GO:1904924 negative regulation of mitophagy in response to mitochondrial depolarization;GO:0006722 triterpenoid metabolic process,,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of amino acid metabolism; Potential drug targets; Peptidases:Serine-type peptidases; ENZYME proteins:Hydrolases; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,Mitochondria (Supported),,(M5936)HALLMARK OXIDATIVE PHOSPHORYLATION; (M5945)HALLMARK HEME METABOLISM
3859,KRT12,keratin 12,GO:0061303 cornea development in camera-type eye;GO:0045109 intermediate filament organization;GO:0045104 intermediate filament cytoskeleton organization,,Human disease related genes:Nervous system diseases:Eye disease; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Disease related genes,,,
3358,HTR2C,5-hydroxytryptamine receptor 2C,GO:0043397 regulation of corticotropin-releasing hormone secretion;GO:0007208 phospholipase C-activating serotonin receptor signaling pathway;GO:0010513 positive regulation of phosphatidylinositol biosynthetic process,,G-protein coupled receptors:Serotonin receptors; FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,,,
4685,NCAM2,neural cell adhesion molecule 2,GO:0007158 neuron cell-cell adhesion;GO:0007413 axonal fasciculation;GO:0106030 neuron projection fasciculation,,,Nuclear bodies;Plasma membrane (Supported),,
145748,LYSMD4,LysM domain containing 4,,,Predicted intracellular proteins,Cytosol (Approved); Additional: Actin filaments,,
4067,LYN,"LYN proto-oncogene, Src family tyrosine kinase",GO:0070447 positive regulation of oligodendrocyte progenitor proliferation;GO:0070667 negative regulation of mast cell proliferation;GO:2000670 positive regulation of dendritic cell apoptotic process,yes,Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Kinases:Tyr protein kinases; Cancer-related genes:Mutational cancer driver genes; Disease related genes,Golgi apparatus;Plasma membrane (Supported); Additional: Vesicles,(M135)PID IL5 PATHWAY; (M17200)SA B CELL RECEPTOR COMPLEXES; (M33)PID GLYPICAN 1PATHWAY,(M5916)HALLMARK APICAL SURFACE; (M5941)HALLMARK UV RESPONSE UP; (M5921)HALLMARK COMPLEMENT
55743,CHFR,checkpoint with forkhead and ring finger domains,GO:0044779 meiotic spindle checkpoint signaling;GO:1902103 negative regulation of metaphase/anaphase transition of meiotic cell cycle;GO:1905133 negative regulation of meiotic chromosome separation,,Cancer-related genes:Candidate cancer biomarkers; Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Microtubules;Nuclear bodies (Uncertain),,(M5951)HALLMARK SPERMATOGENESIS
1602,DACH1,dachshund family transcription factor 1,GO:0060244 negative regulation of cell proliferation involved in contact inhibition;GO:0060242 contact inhibition;GO:0060245 detection of cell density,,Predicted intracellular proteins,Nuclear speckles;Nucleoplasm (Supported),,
4718,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,"GO:0006120 mitochondrial electron transport, NADH to ubiquinone;GO:0010257 NADH dehydrogenase complex assembly;GO:0032981 mitochondrial respiratory chain complex I assembly",,Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Predicted intracellular proteins; Disease related genes,Mitochondria (Supported),,(M5936)HALLMARK OXIDATIVE PHOSPHORYLATION
254827,NAALADL2,N-acetylated alpha-linked acidic dipeptidase like 2,GO:0009617 response to bacterium;GO:0051707 response to other organism;GO:0043207 response to external biotic stimulus,,Peptidases:Metallopeptidases; Enzymes; Predicted intracellular proteins,Nucleoplasm (Enhanced),,
285,ANGPT2,angiopoietin 2,GO:0050928 negative regulation of positive chemotaxis;GO:0048014 Tie signaling pathway;GO:0072012 glomerulus vasculature development,,Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of skin; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Biotech drugs; Disease related genes; RAS pathway related proteins,,(M92)PID ANGIOPOIETIN RECEPTOR PATHWAY; (M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED,
8633,UNC5C,unc-5 netrin receptor C,GO:0061643 chemorepulsion of axon;GO:0033564 anterior/posterior axon guidance;GO:1990791 dorsal root ganglion development,,Predicted intracellular proteins; Disease related genes,,(M108)PID NETRIN PATHWAY,(M5919)HALLMARK HEDGEHOG SIGNALING
