Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
3748,KCNC3,potassium voltage-gated channel subfamily C member 3,GO:0051262 protein tetramerization;GO:0071805 potassium ion transmembrane transport;GO:0006813 potassium ion transport,,Transporters:Transporter channels and pores; Voltage-gated ion channels:Voltage-Gated Potassium Channels; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,,,
5141,PDE4A,phosphodiesterase 4A,GO:0006198 cAMP catabolic process;GO:0009214 cyclic nucleotide catabolic process;GO:0106070 regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs,Plasma membrane (Supported),,
55621,TRMT1,tRNA methyltransferase 1,GO:0002940 tRNA N2-guanine methylation;GO:0030488 tRNA methylation;GO:0001510 RNA methylation,,Enzymes; Disease related genes; ENZYME proteins:Transferases; Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Potential drug targets,Cytosol;Plasma membrane (Approved); Additional: Nucleoplasm,,
10147,SUGP2,SURP and G-patch domain containing 2,GO:0008380 RNA splicing;GO:0006397 mRNA processing;GO:0016071 mRNA metabolic process,,Predicted intracellular proteins,Nucleoplasm (Enhanced); Additional: Nuclear bodies,,
151835,CPNE9,copine family member 9,GO:1903861 positive regulation of dendrite extension;GO:1903859 regulation of dendrite extension;GO:0071277 cellular response to calcium ion,,Predicted intracellular proteins,Cytosol (Approved); Additional: Plasma membrane,,
55160,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,GO:0032933 SREBP signaling pathway;GO:0071501 cellular response to sterol depletion;GO:0006991 response to sterol depletion,,Predicted intracellular proteins,Cytosol;Golgi apparatus;Vesicles (Approved),(M68)PID RHOA REG PATHWAY,
118813,ZFYVE27,zinc finger FYVE-type containing 27,GO:0071787 endoplasmic reticulum tubular network formation;GO:0048011 neurotrophin TRK receptor signaling pathway;GO:0071786 endoplasmic reticulum tubular network organization,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Potential drug targets; Transporters:Transporter channels and pores; Disease related genes,Nucleoplasm;Vesicles (Approved); Additional: Cytosol,,
23225,NUP210,nucleoporin 210,GO:0051028 mRNA transport;GO:0050657 nucleic acid transport;GO:0050658 RNA transport,,Transporters:Transporter channels and pores,,,
2720,GLB1,galactosidase beta 1,GO:0051413 response to cortisone;GO:0042340 keratan sulfate catabolic process;GO:0019388 galactose catabolic process,,Human disease related genes:Congenital disorders of metabolism:Congenital disorders of glycan/glycoprotein metabolism; Enzymes; Human disease related genes:Congenital disorders of metabolism:Lysosomal storage diseases; Potential drug targets; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of lipid/glycolipid metabolism; Disease related genes,Vesicles (Supported); Additional: Golgi apparatus,,
39,ACAT2,acetyl-CoA acetyltransferase 2,GO:0006635 fatty acid beta-oxidation;GO:0019395 fatty acid oxidation;GO:0034440 lipid oxidation,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Cytosol (Approved); Additional: Nucleoplasm,,(M5892)HALLMARK CHOLESTEROL HOMEOSTASIS; (M5935)HALLMARK FATTY ACID METABOLISM
389337,ARHGEF37,Rho guanine nucleotide exchange factor 37,,,Predicted intracellular proteins,Cytosol (Approved),,
57576,KIF17,kinesin family member 17,GO:0098971 anterograde dendritic transport of neurotransmitter receptor complex;GO:0098937 anterograde dendritic transport;GO:0098935 dendritic transport,,Predicted intracellular proteins,Nucleoplasm;Plasma membrane (Approved),,
23506,BICRAL,BICRA like chromatin remodeling complex associated protein,GO:1902459 positive regulation of stem cell population maintenance;GO:2000036 regulation of stem cell population maintenance;GO:0006338 chromatin remodeling,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,,
8558,CDK10,cyclin dependent kinase 10,GO:0007089 traversing start control point of mitotic cell cycle;GO:1902018 negative regulation of cilium assembly;GO:0120033 negative regulation of plasma membrane bounded cell projection assembly,yes,Enzymes; Kinases:CMGC Ser/Thr protein kinases; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes,,,
55898,UNC45A,unc-45 myosin chaperone A,GO:0061077 chaperone-mediated protein folding;GO:0006457 protein folding;GO:0007517 muscle organ development,,Predicted intracellular proteins; Disease related genes,Nuclear speckles (Supported); Additional: Cytosol,,
4294,MAP3K10,mitogen-activated protein kinase kinase kinase 10,GO:0043507 positive regulation of JUN kinase activity;GO:0043506 regulation of JUN kinase activity;GO:0018107 peptidyl-threonine phosphorylation,yes,Kinases:STE Ser/Thr protein kinases; Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Actin filaments;Cytosol;Nucleoplasm (Approved),(M20)PID P38 MKK3 6PATHWAY,
78987,CRELD1,cysteine rich with EGF like domains 1,GO:0003197 endocardial cushion development;GO:0003279 cardiac septum development;GO:0003205 cardiac chamber development,,Enzymes; Disease related genes; Predicted intracellular proteins; ENZYME proteins:Isomerase; Human disease related genes:Congenital malformations:Congenital malformations of the circulatory system; Potential drug targets,Cytosol (Approved); Additional: Nucleoli,(M3008)NABA ECM GLYCOPROTEINS; (M5884)NABA CORE MATRISOME; (M5889)NABA MATRISOME,
440193,CCDC88C,coiled-coil domain containing 88C,GO:0003383 apical constriction;GO:0031098 stress-activated protein kinase signaling cascade;GO:0003382 epithelial cell morphogenesis,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Disease related genes,Cell Junctions (Enhanced),,
25759,SHC2,SHC adaptor protein 2,GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway;GO:0007167 enzyme-linked receptor protein signaling pathway;GO:0035556 intracellular signal transduction,,Predicted intracellular proteins; RAS pathway related proteins,Cytosol (Approved),(M226)PID VEGFR1 PATHWAY; (M187)PID TRKR PATHWAY,
55005,RMND1,required for meiotic nuclear division 1 homolog,GO:0070131 positive regulation of mitochondrial translation;GO:0070129 regulation of mitochondrial translation;GO:0062125 regulation of mitochondrial gene expression,,Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Predicted intracellular proteins; Disease related genes,Mitochondria (Supported),,
90990,KIFC2,kinesin family member C2,GO:0090307 mitotic spindle assembly;GO:0007052 mitotic spindle organization;GO:0051225 spindle assembly,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,,
2901,GRIK5,glutamate ionotropic receptor kainate type subunit 5,GO:0031630 regulation of synaptic vesicle fusion to presynaptic active zone membrane;GO:1901632 regulation of synaptic vesicle membrane organization;GO:0035235 ionotropic glutamate receptor signaling pathway,,Transporters:Transporter channels and pores; FDA approved drug targets:Small molecule drugs,Plasma membrane (Supported); Additional: Nucleoplasm,,
124739,USP43,ubiquitin specific peptidase 43,GO:0019985 translesion synthesis;GO:0006301 postreplication repair;GO:0000731 DNA synthesis involved in DNA repair,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Peptidases:Cysteine-type peptidases,Nuclear speckles;Nucleoplasm (Approved),,
56006,SMG9,SMG9 nonsense mediated mRNA decay factor,"GO:0000184 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;GO:0000956 nuclear-transcribed mRNA catabolic process;GO:0006402 mRNA catabolic process",,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Cytosol;Mitochondria (Approved); Additional: Plasma membrane,,
5621,PRNP,prion protein (Kanno blood group),GO:1902938 regulation of intracellular calcium activated chloride channel activity;GO:1902951 negative regulation of dendritic spine maintenance;GO:1900449 regulation of glutamate receptor signaling pathway,,Disease related genes; Transporters:Transporter channels and pores; CD markers; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Potential drug targets,Cytosol;Nuclear membrane (Approved); Additional: Vesicles,(M33)PID GLYPICAN 1PATHWAY,(M5938)HALLMARK REACTIVE OXYGEN SPECIES PATHWAY; (M5947)HALLMARK IL2 STAT5 SIGNALING; (M5909)HALLMARK MYOGENESIS
6167,RPL37,ribosomal protein L37,GO:1901798 positive regulation of signal transduction by p53 class mediator;GO:1901796 regulation of signal transduction by p53 class mediator;GO:0002181 cytoplasmic translation,,Ribosomal proteins; Predicted intracellular proteins,,,
3949,LDLR,low density lipoprotein receptor,GO:0010899 regulation of phosphatidylcholine catabolic process;GO:0061771 response to caloric restriction;GO:0090118 receptor-mediated endocytosis involved in cholesterol transport,,Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Human disease related genes:Endocrine and metabolic diseases:Other endocrine and metabolic diseases; Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Vascular diseases; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of lipid/glycolipid metabolism; Disease related genes,,,(M5892)HALLMARK CHOLESTEROL HOMEOSTASIS; (M5942)HALLMARK UV RESPONSE DN; (M5890)HALLMARK TNFA SIGNALING VIA NFKB
3714,JAG2,jagged canonical Notch ligand 2,GO:1990134 epithelial cell apoptotic process involved in palatal shelf morphogenesis;GO:0009912 auditory receptor cell fate commitment;GO:0060120 inner ear receptor cell fate commitment,,Human disease related genes:Musculoskeletal diseases:Muscular diseases; Disease related genes,Vesicles (Supported); Additional: Cytosol,(M17)PID NOTCH PATHWAY; (M19)PID P73PATHWAY,(M5944)HALLMARK ANGIOGENESIS; (M5895)HALLMARK WNT BETA CATENIN SIGNALING; (M5939)HALLMARK P53 PATHWAY
