_MEMBER_Btg2,_LogP_Btg2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.1,M40024,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL STEM CELLS,,-6.1,49,14,30286,311,8,4,50,18,1191|6217|9592|23521,CLU|RPS16|IER2|RPL13A,-2.7,0
1,-6.1,M40001,M1,1,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-6.1,1.5e+02,21,30286,77,8,3,38,17,1191|3726|23521,CLU|JUNB|RPL13A,-2.6,0
1,-5.1,M39107,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C3 NK NKT CELLS 2,,-5.1,70,14,30286,162,8,3,38,17,3726|6139|23521,JUNB|RPL17|RPL13A,-1.7,0
1,-4.9,M41651,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASAL CELL,,-4.9,60,13,30286,188,8,3,38,17,1191|3726|23521,CLU|JUNB|RPL13A,-1.5,0
1,-4.9,M40019,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC X CELLS,,-4.9,59,13,30286,191,8,3,38,17,1191|3726|9592,CLU|JUNB|IER2,-1.5,0
1,-4.6,M41718,M1,1,0,Cell Type Signatures,7,FAN OVARY CL16 LYMPHATIC ENDOTHELIAL CELL,,-4.6,49,12,30286,232,8,3,38,17,1191|3726|9592,CLU|JUNB|IER2,-1.3,0
1,-4.5,M41709,M1,1,0,Cell Type Signatures,7,FAN OVARY CL7 ANGEIOGENIC ENDOTHELIAL CELL,,-4.5,45,11,30286,251,8,3,38,17,1191|3726|9592,CLU|JUNB|IER2,-1.2,0
1,-4.4,M39228,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-4.4,42,11,30286,268,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1.2,0
1,-4.4,M39227,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-4.4,41,11,30286,278,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1.2,0
1,-4.2,M39237,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-4.2,35,10,30286,322,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1,0
1,-4.2,M39238,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-4.2,35,10,30286,326,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1,0
1,-4.1,M41751,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-4.1,33,9.7,30286,347,8,3,38,17,3726|6139|6217,JUNB|RPL17|RPS16,-0.97,0
1,-3.3,M41717,M1,1,0,Cell Type Signatures,7,FAN OVARY CL15 SMALL ANTRAL FOLLICLE GRANULOSA CELL,,-3.3,18,6.9,30286,645,8,3,38,17,6139|9592|10140,RPL17|IER2|TOB1,-0.21,0
