Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Ccdc115,Reactome Gene Sets,6,R-HSA-190236,Signaling by FGFR,,-5.7,24,11,30286,89,71,5,7,3,2246|2263|3187|7314|23767,FGF1|FGFR2|HNRNPH1|UBB|FLRT3,-3
Ccdc115,Reactome Gene Sets,6,R-HSA-199991,Membrane Trafficking,,-5.7,6.7,7.1,30286,634,71,10,14,4.1,71|808|830|7314|7529|7534|23682|29978|60592|92421,ACTG1|CALM3|CAPZA2|UBB|YWHAB|YWHAZ|RAB38|UBQLN2|SCOC|CHMP4C,-3
Ccdc115,GO Biological Processes,19,GO:0051338,regulation of transferase activity,19_GO:0065007 biological regulation,-5.6,6.7,7,30286,639,71,10,14,4.1,808|2246|2263|2321|3184|3326|4067|4869|7010|57515,CALM3|FGF1|FGFR2|FLT1|HNRNPD|HSP90AB1|LYN|NPM1|TEK|SERINC1,-2.9
Ccdc115,Reactome Gene Sets,6,R-HSA-69481,G2/M Checkpoints,,-5.6,15,9,30286,167,71,6,8.5,3.3,4998|5000|7314|7529|7534|79184,ORC1|ORC4|UBB|YWHAB|YWHAZ|BRCC3,-2.9
Ccdc115,GO Biological Processes,19,GO:0051347,positive regulation of transferase activity,19_GO:0065007 biological regulation,-5.6,9.1,7.7,30286,375,71,8,11,3.8,808|2246|2263|2321|3184|3326|7010|57515,CALM3|FGF1|FGFR2|FLT1|HNRNPD|HSP90AB1|TEK|SERINC1,-2.9
Ccdc115,Reactome Gene Sets,6,R-HSA-9692914,SARS-CoV-1-host interactions,,-5.5,22,10,30286,96,71,5,7,3,4869|5094|7314|7529|7534,NPM1|PCBP2|UBB|YWHAB|YWHAZ,-2.9
Ccdc115,GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-5.4,6.4,6.8,30286,669,71,10,14,4.1,367|1540|1687|2246|2263|2321|4067|4988|7010|7534,AR|CYLD|GSDME|FGF1|FGFR2|FLT1|LYN|OPRM1|TEK|YWHAZ,-2.8
Ccdc115,Reactome Gene Sets,6,R-HSA-5653656,Vesicle-mediated transport,,-5.4,6.3,6.8,30286,673,71,10,14,4.1,71|808|830|7314|7529|7534|23682|29978|60592|92421,ACTG1|CALM3|CAPZA2|UBB|YWHAB|YWHAZ|RAB38|UBQLN2|SCOC|CHMP4C,-2.8
Ccdc115,Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-5.3,6.2,6.7,30286,692,71,10,14,4.1,3326|4067|4869|4998|5000|7314|7529|7534|79184|92421,HSP90AB1|LYN|NPM1|ORC1|ORC4|UBB|YWHAB|YWHAZ|BRCC3|CHMP4C,-2.8
Ccdc115,Reactome Gene Sets,6,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",,-5.3,36,12,30286,48,71,4,5.6,2.7,3567|4067|7314|7534,IL5|LYN|UBB|YWHAZ,-2.8
Ccdc115,GO Biological Processes,19,GO:0010562,positive regulation of phosphorus metabolic process,19_GO:0048518 positive regulation of biological process,-5.3,6.1,6.6,30286,702,71,10,14,4.1,367|808|2246|2263|2321|3326|3567|4067|7010|23682,AR|CALM3|FGF1|FGFR2|FLT1|HSP90AB1|IL5|LYN|TEK|RAB38,-2.8
Ccdc115,GO Biological Processes,19,GO:0045937,positive regulation of phosphate metabolic process,19_GO:0048518 positive regulation of biological process,-5.3,6.1,6.6,30286,702,71,10,14,4.1,367|808|2246|2263|2321|3326|3567|4067|7010|23682,AR|CALM3|FGF1|FGFR2|FLT1|HSP90AB1|IL5|LYN|TEK|RAB38,-2.8
Ccdc115,Reactome Gene Sets,6,R-HSA-9679506,SARS-CoV Infections,,-5.2,8.2,7.2,30286,414,71,8,11,3.8,3326|4869|5094|7314|7529|7534|8452|92421,HSP90AB1|NPM1|PCBP2|UBB|YWHAB|YWHAZ|CUL3|CHMP4C,-2.7
Ccdc115,GO Biological Processes,19,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,19_GO:0050896 response to stimulus,-5.2,8.1,7.1,30286,419,71,8,11,3.8,285|367|2246|2263|2321|4067|7010|23767,ANGPT2|AR|FGF1|FGFR2|FLT1|LYN|TEK|FLRT3,-2.7
Ccdc115,CORUM,33,CORUM:5199,Kinase maturation complex 1,,-5.2,80,15,30286,16,71,3,4.2,2.4,3326|7529|7534,HSP90AB1|YWHAB|YWHAZ,-2.7
Ccdc115,Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-5.1,5.9,6.4,30286,726,71,10,14,4.1,3184|3187|4809|5094|7314|7529|7534|51691|220988|246175,HNRNPD|HNRNPH1|SNU13|PCBP2|UBB|YWHAB|YWHAZ|LSM8|HNRNPA3|CNOT6L,-2.7
Ccdc115,GO Biological Processes,19,GO:1902749,regulation of cell cycle G2/M phase transition,19_GO:0050789 regulation of biological process,-5.1,18,9.1,30286,116,71,5,7,3,4869|4998|79184|92421|373509,NPM1|ORC1|BRCC3|CHMP4C|USP50,-2.6
Ccdc115,GO Biological Processes,19,GO:0034605,cellular response to heat,19_GO:0050896 response to stimulus,-5.1,31,11,30286,55,71,4,5.6,2.7,2246|3326|4067|27429,FGF1|HSP90AB1|LYN|HTRA2,-2.6
Ccdc115,Reactome Gene Sets,6,R-HSA-72163,mRNA Splicing - Major Pathway,,-5,12,8,30286,207,71,6,8.5,3.3,3184|3187|4809|5094|51691|220988,HNRNPD|HNRNPH1|SNU13|PCBP2|LSM8|HNRNPA3,-2.6
Ccdc115,Reactome Gene Sets,6,R-HSA-5357801,Programmed Cell Death,,-5,12,7.8,30286,213,71,6,8.5,3.3,1687|3006|7314|7529|7534|92421,GSDME|H1-2|UBB|YWHAB|YWHAZ|CHMP4C,-2.5
Ccdc115,Reactome Gene Sets,6,R-HSA-72172,mRNA Splicing,,-4.9,12,7.8,30286,215,71,6,8.5,3.3,3184|3187|4809|5094|51691|220988,HNRNPD|HNRNPH1|SNU13|PCBP2|LSM8|HNRNPA3,-2.5
Ccdc115,Reactome Gene Sets,6,R-HSA-1280218,Adaptive Immune System,,-4.9,5.6,6.2,30286,768,71,10,14,4.1,808|830|4067|5532|7314|7337|7529|7534|8452|57531,CALM3|CAPZA2|LYN|PPP3CB|UBB|UBE3A|YWHAB|YWHAZ|CUL3|HACE1,-2.5
Ccdc115,Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,,-4.9,7.4,6.7,30286,459,71,8,11,3.8,71|808|2246|2263|4067|4869|7314|7529,ACTG1|CALM3|FGF1|FGFR2|LYN|NPM1|UBB|YWHAB,-2.5
Ccdc115,GO Biological Processes,19,GO:0060322,head development,19_GO:0032502 developmental process,-4.9,5.5,6.1,30286,778,71,10,14,4.1,808|2263|3184|5354|7314|7337|8633|23767|27429|64805,CALM3|FGFR2|HNRNPD|PLP1|UBB|UBE3A|UNC5C|FLRT3|HTRA2|P2RY12,-2.5
Ccdc115,GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-4.9,6.3,6.4,30286,614,71,9,13,3.9,285|367|658|2246|2263|2321|4067|7010|23767,ANGPT2|AR|BMPR1B|FGF1|FGFR2|FLT1|LYN|TEK|FLRT3,-2.5
Ccdc115,GO Biological Processes,19,GO:1902115,regulation of organelle assembly,19_GO:0050789 regulation of biological process,-4.8,11,7.6,30286,223,71,6,8.5,3.3,1540|3567|4869|29978|92421|246175,CYLD|IL5|NPM1|UBQLN2|CHMP4C|CNOT6L,-2.5
Ccdc115,KEGG Pathway,24,hsa04114,Oocyte meiosis,,-4.8,16,8.5,30286,131,71,5,7,3,367|808|5532|7529|7534,AR|CALM3|PPP3CB|YWHAB|YWHAZ,-2.5
Ccdc115,Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-4.8,6.2,6.3,30286,622,71,9,13,3.9,226|285|808|830|4067|7010|7534|10846|64805,ALDOA|ANGPT2|CALM3|CAPZA2|LYN|TEK|YWHAZ|PDE10A|P2RY12,-2.5
Ccdc115,GO Biological Processes,19,GO:0042327,positive regulation of phosphorylation,19_GO:0048518 positive regulation of biological process,-4.8,6.2,6.3,30286,623,71,9,13,3.9,367|808|2246|2263|2321|3326|3567|4067|7010,AR|CALM3|FGF1|FGFR2|FLT1|HSP90AB1|IL5|LYN|TEK,-2.5
Ccdc115,GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-4.8,5.4,6.1,30286,791,71,10,14,4.1,367|658|1687|2263|2321|4067|4869|4988|26136|27306,AR|BMPR1B|GSDME|FGFR2|FLT1|LYN|NPM1|OPRM1|TES|HPGDS,-2.5
Ccdc115,GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-4.7,7,6.5,30286,488,71,8,11,3.8,285|658|2246|2263|2321|7337|23767|27429,ANGPT2|BMPR1B|FGF1|FGFR2|FLT1|UBE3A|FLRT3|HTRA2,-2.4
Ccdc115,KEGG Pathway,24,hsa05418,Fluid shear stress and atherosclerosis,,-4.7,15,8.2,30286,139,71,5,7,3,71|658|808|3326|6613,ACTG1|BMPR1B|CALM3|HSP90AB1|SUMO2,-2.4
Ccdc115,KEGG Pathway,24,hsa04014,Ras signaling pathway,,-4.7,11,7.4,30286,236,71,6,8.5,3.3,285|808|2246|2263|2321|7010,ANGPT2|CALM3|FGF1|FGFR2|FLT1|TEK,-2.4
Ccdc115,Reactome Gene Sets,6,R-HSA-9013418,RHOBTB2 GTPase cycle,,-4.7,56,13,30286,23,71,3,4.2,2.4,71|3326|8452,ACTG1|HSP90AB1|CUL3,-2.4
Ccdc115,GO Biological Processes,19,GO:2001235,positive regulation of apoptotic signaling pathway,19_GO:0048518 positive regulation of biological process,-4.7,15,8.1,30286,143,71,5,7,3,658|1540|1687|7314|27429,BMPR1B|CYLD|GSDME|UBB|HTRA2,-2.3
Ccdc115,Reactome Gene Sets,6,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,,-4.6,24,9.3,30286,72,71,4,5.6,2.7,71|808|7529|7534,ACTG1|CALM3|YWHAB|YWHAZ,-2.3
Ccdc115,Reactome Gene Sets,6,R-HSA-5654738,Signaling by FGFR2,,-4.6,23,9.3,30286,73,71,4,5.6,2.7,2246|2263|3187|7314,FGF1|FGFR2|HNRNPH1|UBB,-2.3
Ccdc115,GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-4.5,6.6,6.2,30286,520,71,8,11,3.8,285|658|2246|2263|2321|7337|23767|27429,ANGPT2|BMPR1B|FGF1|FGFR2|FLT1|UBE3A|FLRT3|HTRA2,-2.2
Ccdc115,GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-4.5,5.6,5.9,30286,681,71,9,13,3.9,71|367|658|2263|5532|7314|8452|8633|23767,ACTG1|AR|BMPR1B|FGFR2|PPP3CB|UBB|CUL3|UNC5C|FLRT3,-2.2
Ccdc115,GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-4.5,6.5,6.2,30286,524,71,8,11,3.8,1540|1687|4067|5094|7534|79184|92610|373509,CYLD|GSDME|LYN|PCBP2|YWHAZ|BRCC3|TIFA|USP50,-2.2
Ccdc115,GO Biological Processes,19,GO:0031175,neuron projection development,19_GO:0032502 developmental process,-4.5,5.6,5.9,30286,691,71,9,13,3.9,71|658|2263|4067|5354|5532|7314|8633|23767,ACTG1|BMPR1B|FGFR2|LYN|PLP1|PPP3CB|UBB|UNC5C|FLRT3,-2.2
Ccdc115,GO Biological Processes,19,GO:0043549,regulation of kinase activity,19_GO:0008152 metabolic process,-4.5,6.4,6.1,30286,532,71,8,11,3.8,808|2246|2263|2321|3326|4067|4869|7010,CALM3|FGF1|FGFR2|FLT1|HSP90AB1|LYN|NPM1|TEK,-2.2
Ccdc115,GO Biological Processes,19,GO:0030163,protein catabolic process,19_GO:0008152 metabolic process,-4.4,5.4,5.8,30286,711,71,9,13,3.9,5094|7314|7337|8452|10973|27429|29978|57531|92421,PCBP2|UBB|UBE3A|CUL3|ASCC3|HTRA2|UBQLN2|HACE1|CHMP4C,-2.1
Ccdc115,Reactome Gene Sets,6,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,,-4.4,21,8.7,30286,82,71,4,5.6,2.7,1540|3326|5094|7314,CYLD|HSP90AB1|PCBP2|UBB,-2.1
Ccdc115,Reactome Gene Sets,6,R-HSA-9824443,Parasitic Infection Pathways,,-4.4,13,7.5,30286,164,71,5,7,3,71|808|3326|4067|4907,ACTG1|CALM3|HSP90AB1|LYN|NT5E,-2.1
Ccdc115,Reactome Gene Sets,6,R-HSA-9658195,Leishmania infection,,-4.4,13,7.5,30286,164,71,5,7,3,71|808|3326|4067|4907,ACTG1|CALM3|HSP90AB1|LYN|NT5E,-2.1
Ccdc115,GO Biological Processes,19,GO:0070536,protein K63-linked deubiquitination,19_GO:0008152 metabolic process,-4.4,44,11,30286,29,71,3,4.2,2.4,1540|79184|373509,CYLD|BRCC3|USP50,-2.1
Ccdc115,GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-4.3,5.3,5.7,30286,729,71,9,13,3.9,808|2263|3184|5354|7314|7337|8633|27429|64805,CALM3|FGFR2|HNRNPD|PLP1|UBB|UBE3A|UNC5C|HTRA2|P2RY12,-2.1
Ccdc115,Reactome Gene Sets,6,R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,,-4.3,19,8.4,30286,88,71,4,5.6,2.7,3184|7314|7529|7534,HNRNPD|UBB|YWHAB|YWHAZ,-2
Ccdc115,Reactome Gene Sets,6,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,,-4.2,9,6.6,30286,285,71,6,8.5,3.3,3184|3187|4809|5094|51691|220988,HNRNPD|HNRNPH1|SNU13|PCBP2|LSM8|HNRNPA3,-2
Ccdc115,GO Biological Processes,19,GO:0061564,axon development,19_GO:0032502 developmental process,-4.2,7.1,6.1,30286,421,71,7,9.9,3.5,71|658|2263|5354|5532|8633|23767,ACTG1|BMPR1B|FGFR2|PLP1|PPP3CB|UNC5C|FLRT3,-2
Ccdc115,GO Biological Processes,19,GO:0048589,developmental growth,19_GO:0040007 growth,-4.2,7,6.1,30286,424,71,7,9.9,3.5,367|658|2246|2263|5532|7337|23767,AR|BMPR1B|FGF1|FGFR2|PPP3CB|UBE3A|FLRT3,-2
Ccdc115,GO Biological Processes,19,GO:0040007,growth,19_GO:0040007 growth,-4.2,7,6.1,30286,424,71,7,9.9,3.5,367|658|2246|2263|5532|7337|23767,AR|BMPR1B|FGF1|FGFR2|PPP3CB|UBE3A|FLRT3,-2
Ccdc115,GO Biological Processes,19,GO:0031348,negative regulation of defense response,19_GO:0048519 negative regulation of biological process,-4.2,8.8,6.5,30286,291,71,6,8.5,3.3,1540|4067|4907|5094|7010|7534,CYLD|LYN|NT5E|PCBP2|TEK|YWHAZ,-2
Ccdc115,Reactome Gene Sets,6,R-HSA-2871809,FCERI mediated Ca+2 mobilization,,-4.2,39,11,30286,33,71,3,4.2,2.4,808|4067|5532,CALM3|LYN|PPP3CB,-2
Ccdc115,Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-4.2,8.8,6.5,30286,292,71,6,8.5,3.3,4998|5000|7314|7529|7534|79184,ORC1|ORC4|UBB|YWHAB|YWHAZ|BRCC3,-2
Ccdc115,Reactome Gene Sets,6,R-HSA-109581,Apoptosis,,-4.2,12,7.1,30286,180,71,5,7,3,1687|3006|7314|7529|7534,GSDME|H1-2|UBB|YWHAB|YWHAZ,-2
Ccdc115,GO Biological Processes,19,GO:0009408,response to heat,19_GO:0050896 response to stimulus,-4.2,18,8.1,30286,93,71,4,5.6,2.7,2246|3326|4067|27429,FGF1|HSP90AB1|LYN|HTRA2,-2
Ccdc115,Reactome Gene Sets,6,R-HSA-5654727,Negative regulation of FGFR2 signaling,,-4.2,38,10,30286,34,71,3,4.2,2.4,2246|2263|7314,FGF1|FGFR2|UBB,-2
Ccdc115,KEGG Pathway,24,hsa04010,MAPK signaling pathway,,-4.1,8.6,6.4,30286,299,71,6,8.5,3.3,285|2246|2263|2321|5532|7010,ANGPT2|FGF1|FGFR2|FLT1|PPP3CB|TEK,-2
Ccdc115,Reactome Gene Sets,6,R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,,-4.1,37,10,30286,35,71,3,4.2,2.4,1540|5094|7314,CYLD|PCBP2|UBB,-2
Ccdc115,Reactome Gene Sets,6,R-HSA-9706574,RHOBTB GTPase Cycle,,-4.1,37,10,30286,35,71,3,4.2,2.4,71|3326|8452,ACTG1|HSP90AB1|CUL3,-2
Ccdc115,GO Biological Processes,19,GO:0051302,regulation of cell division,19_GO:0050789 regulation of biological process,-4.1,11,6.9,30286,186,71,5,7,3,808|2246|2263|8452|92421,CALM3|FGF1|FGFR2|CUL3|CHMP4C,-2
Ccdc115,GO Biological Processes,19,GO:0033674,positive regulation of kinase activity,19_GO:0048518 positive regulation of biological process,-4.1,8.5,6.3,30286,302,71,6,8.5,3.3,808|2246|2263|2321|3326|7010,CALM3|FGF1|FGFR2|FLT1|HSP90AB1|TEK,-2
Ccdc115,GO Biological Processes,19,GO:0045088,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.1,6.8,5.9,30286,440,71,7,9.9,3.5,1540|4067|5094|7534|79184|92610|373509,CYLD|LYN|PCBP2|YWHAZ|BRCC3|TIFA|USP50,-2
Ccdc115,GO Biological Processes,19,GO:0051603,proteolysis involved in protein catabolic process,19_GO:0008152 metabolic process,-4.1,5.7,5.6,30286,598,71,8,11,3.8,5094|7314|7337|8452|10973|29978|57531|92421,PCBP2|UBB|UBE3A|CUL3|ASCC3|UBQLN2|HACE1|CHMP4C,-2
Ccdc115,GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0008152 metabolic process,-4.1,5.7,5.6,30286,600,71,8,11,3.8,3326|4067|6613|7314|7337|27429|29978|373509,HSP90AB1|LYN|SUMO2|UBB|UBE3A|HTRA2|UBQLN2|USP50,-2
Ccdc115,GO Biological Processes,19,GO:0002833,positive regulation of response to biotic stimulus,19_GO:0048518 positive regulation of biological process,-4.1,8.3,6.3,30286,307,71,6,8.5,3.3,1540|1687|4067|79184|92610|373509,CYLD|GSDME|LYN|BRCC3|TIFA|USP50,-1.9
Ccdc115,GO Biological Processes,19,GO:0070372,regulation of ERK1 and ERK2 cascade,19_GO:0050896 response to stimulus,-4.1,8.3,6.3,30286,308,71,6,8.5,3.3,2246|2263|4067|4988|7010|7534,FGF1|FGFR2|LYN|OPRM1|TEK|YWHAZ,-1.9
Ccdc115,GO Biological Processes,19,GO:0032102,negative regulation of response to external stimulus,19_GO:0048519 negative regulation of biological process,-4,6.6,5.8,30286,453,71,7,9.9,3.5,285|1540|4067|4907|5094|7010|7534,ANGPT2|CYLD|LYN|NT5E|PCBP2|TEK|YWHAZ,-1.9
Ccdc115,KEGG Pathway,24,hsa05167,Kaposi sarcoma-associated herpesvirus infection,,-4,11,6.8,30286,194,71,5,7,3,285|808|4067|5532|7314,ANGPT2|CALM3|LYN|PPP3CB|UBB,-1.9
Ccdc115,GO Biological Processes,19,GO:0031396,regulation of protein ubiquitination,19_GO:0008152 metabolic process,-4,11,6.7,30286,198,71,5,7,3,3326|4869|7314|7337|8452,HSP90AB1|NPM1|UBB|UBE3A|CUL3,-1.9
Ccdc115,Hallmark Gene Sets,23,M5926,HALLMARK MYC TARGETS V1,,-4,11,6.6,30286,200,71,5,7,3,52|3184|3326|4869|220988,ACP1|HNRNPD|HSP90AB1|NPM1|HNRNPA3,-1.8
Ccdc115,KEGG Pathway,24,hsa04066,HIF-1 signaling pathway,,-3.9,16,7.5,30286,108,71,4,5.6,2.7,226|285|2321|7010,ALDOA|ANGPT2|FLT1|TEK,-1.8
Ccdc115,GO Biological Processes,19,GO:0031398,positive regulation of protein ubiquitination,19_GO:0048518 positive regulation of biological process,-3.9,16,7.5,30286,108,71,4,5.6,2.7,4869|7314|7337|8452,NPM1|UBB|UBE3A|CUL3,-1.8
Ccdc115,GO Biological Processes,19,GO:0043410,positive regulation of MAPK cascade,19_GO:0048518 positive regulation of biological process,-3.9,6.3,5.6,30286,475,71,7,9.9,3.5,367|1687|2246|2263|2321|4988|7010,AR|GSDME|FGF1|FGFR2|FLT1|OPRM1|TEK,-1.8
Ccdc115,GO Biological Processes,19,GO:0051345,positive regulation of hydrolase activity,19_GO:0065007 biological regulation,-3.9,6.2,5.6,30286,482,71,7,9.9,3.5,808|2263|2321|3326|4067|27429|373509,CALM3|FGFR2|FLT1|HSP90AB1|LYN|HTRA2|USP50,-1.8
Ccdc115,GO Biological Processes,19,GO:0048812,neuron projection morphogenesis,19_GO:0032502 developmental process,-3.9,6.2,5.6,30286,484,71,7,9.9,3.5,71|658|2263|5532|7314|8633|23767,ACTG1|BMPR1B|FGFR2|PPP3CB|UBB|UNC5C|FLRT3,-1.8
Ccdc115,Reactome Gene Sets,6,R-HSA-983705,Signaling by the B Cell Receptor (BCR),,-3.8,15,7.3,30286,112,71,4,5.6,2.7,808|4067|5532|7314,CALM3|LYN|PPP3CB|UBB,-1.8
Ccdc115,Reactome Gene Sets,6,R-HSA-9656223,Signaling by RAF1 mutants,,-3.8,30,9.1,30286,43,71,3,4.2,2.4,71|808|7529,ACTG1|CALM3|YWHAB,-1.8
Ccdc115,GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-3.8,7.6,5.9,30286,338,71,6,8.5,3.3,71|285|2246|2263|2321|7010,ACTG1|ANGPT2|FGF1|FGFR2|FLT1|TEK,-1.8
Ccdc115,GO Biological Processes,19,GO:0019941,modification-dependent protein catabolic process,19_GO:0008152 metabolic process,-3.8,6.1,5.5,30286,489,71,7,9.9,3.5,5094|7314|7337|8452|10973|57531|92421,PCBP2|UBB|UBE3A|CUL3|ASCC3|HACE1|CHMP4C,-1.7
Ccdc115,GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-3.8,6.1,5.5,30286,489,71,7,9.9,3.5,71|658|2263|5532|7314|8633|23767,ACTG1|BMPR1B|FGFR2|PPP3CB|UBB|UNC5C|FLRT3,-1.7
Ccdc115,GO Biological Processes,19,GO:0006468,protein phosphorylation,19_GO:0008152 metabolic process,-3.8,6.1,5.5,30286,491,71,7,9.9,3.5,658|2263|2321|4067|5532|7150|7534,BMPR1B|FGFR2|FLT1|LYN|PPP3CB|TOP1|YWHAZ,-1.7
Ccdc115,GO Biological Processes,19,GO:0048858,cell projection morphogenesis,19_GO:0032502 developmental process,-3.8,6,5.5,30286,494,71,7,9.9,3.5,71|658|2263|5532|7314|8633|23767,ACTG1|BMPR1B|FGFR2|PPP3CB|UBB|UNC5C|FLRT3,-1.7
Ccdc115,GO Biological Processes,19,GO:0043632,modification-dependent macromolecule catabolic process,19_GO:0008152 metabolic process,-3.8,6,5.4,30286,500,71,7,9.9,3.5,5094|7314|7337|8452|10973|57531|92421,PCBP2|UBB|UBE3A|CUL3|ASCC3|HACE1|CHMP4C,-1.7
Ccdc115,GO Biological Processes,19,GO:0030850,prostate gland development,19_GO:0022414 reproductive process,-3.8,28,8.8,30286,46,71,3,4.2,2.4,367|2263|7337,AR|FGFR2|UBE3A,-1.7
Ccdc115,Reactome Gene Sets,6,R-HSA-6802949,Signaling by RAS mutants,,-3.7,27,8.7,30286,47,71,3,4.2,2.4,71|808|7529,ACTG1|CALM3|YWHAB,-1.7
Ccdc115,Reactome Gene Sets,6,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,,-3.7,27,8.7,30286,47,71,3,4.2,2.4,71|808|7529,ACTG1|CALM3|YWHAB,-1.7
Ccdc115,Reactome Gene Sets,6,R-HSA-9649948,Signaling downstream of RAS mutants,,-3.7,27,8.7,30286,47,71,3,4.2,2.4,71|808|7529,ACTG1|CALM3|YWHAB,-1.7
Ccdc115,GO Biological Processes,19,GO:0014003,oligodendrocyte development,19_GO:0032502 developmental process,-3.7,27,8.7,30286,47,71,3,4.2,2.4,443|4067|5354,ASPA|LYN|PLP1,-1.7
Ccdc115,Reactome Gene Sets,6,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,,-3.7,27,8.7,30286,47,71,3,4.2,2.4,71|808|7529,ACTG1|CALM3|YWHAB,-1.7
